,sub_ingredients_id,sub_ingredients_text,id_ingredient,O_EAN13
85,en:anchovy,anchois,en:anchovy-paste,7
86,en:pork,porc,en:meat,7
87,en:e211,e211,en:preservative,7
88,en:bell-pepper,paprika,en:spice,7
89,en:e415,e415,en:stabiliser,7
90,en:milk,_lait_,en:grana-padano-pdo-cheese,7
91,en:e330,ácido cítrico,en:acid,7
92,en:sheeps-milk,_lait_ de brebis,en:pecorino,7
93,en:oregano,origan,en:herb,7
94,en:e471,mono- et diglycérides d'acides gras,en:emulsifier,7
95,en:carrot,carottes,fr:legumes-frais,7
96,en:carrot,carotte,en:vegetable,7
97,en:e621,glutamate de sodium,en:flavour-enhancer,7
98,en:celery,dont _céleri_,en:spice,7
99,en:e407,carraghénanes,en:thickener,7
100,en:onion,oignon,en:spice,7
101,fr:avec des extraits d'oignons et d'ail frits,avec des extraits d'oignons et d'ail frits,en:sunflower-oil,7
102,en:e160,caroténoides,en:colour,6
103,en:milk,lait,en:flavouring,6
104,en:e270,acido lattico,en:acidity-regulator,6
105,en:garlic,ail,en:garlic,6
106,en:e440a,pectines,en:gelling-agent,6
107,en:basil,basilic,en:herb,6
108,en:durum-wheat-semolina,semoule de _blé_ dur,en:ravioli,6
109,en:e270,e270,en:acidity-regulator,6
110,en:milk,lait,en:grana-padano-pdo-cheese,6
111,en:beef-meat,viande bovine,en:filling,6
112,en:celery,dont _céleri_,en:natural-flavouring,6
113,en:tomato,tomates,en:crushed-peeled-tomato,6
114,en:milk,LAIT,en:parmesan,6
115,en:coriander,coriandre,en:curry,6
116,en:water,eau,en:brine,6
117,en:water,eau,en:tofu,6
118,en:e412,e412,en:thickener,6
119,en:e955,sucralose,en:sweetener,6
120,en:carrot-extract,extrait de carotte,en:colour,5
121,en:beef,bœuf,en:meat,5
122,en:chicken-fillet,filet de poulet,en:chicken-fillet,5
123,en:sugar,sucre,en:e150,5
124,en:e579,gluconate ferreux,en:stabiliser,5
125,en:green-olives,olives vertes,en:green-olives,5
126,en:salt,sel,en:wheat-flour,5
127,en:tomato,tomates,en:tomato,5
128,en:durum-wheat-semolina,semoule de _blé_ dur,en:dough,5
129,en:e200,acide sorbique,en:preservative,5
130,en:spice,Aromates,fr:Ingrédients de la préparation déshydratée,5
131,en:milk,LAIT,en:cream,5
132,en:e262,e262,en:preservative,5
133,en:milk,LAIT,en:edam,5
134,en:parsley,persil,en:herb,5
135,fr:équivaut à 10\xa0% de viande crue,équivaut à 10% de viande crue,en:beef-meat,5
136,en:e250,e250,en:preservative,5
137,,,en:anchovy,5
138,en:e412,gomme guar,en:stabiliser,5
139,en:capers,câpre,en:capers,5
140,,,en:double-concentrated-tomato,5
141,en:sheeps-milk,lait de brebis,en:pecorino-romano,5
142,en:bell-pepper,poivrons,en:bell-pepper,5
143,,,en:cheese,5
144,en:durum-wheat-semolina,semoule de blé dur,en:dough,5
145,en:e1422,e1422,en:thickener,5
146,en:nut,_fruits à coque_,en:cashew-nuts,5
147,en:tomato,tomate,en:chopped-tomatoes,5
148,,,en:wheat,5
149,en:milk,lait,en:parmesan,5
150,en:e330,acide citrique,en:antioxidant,5
151,en:milk,_lait_,en:parmesan,4
152,en:milk,LAIT,en:natural-flavouring,4
153,en:crushed-tomato,purée de tomate,en:tomato,4
154,en:celery,contain celery,en:herb-extract,4
155,fr:puree-de-tomate-mi-reduite,purée de tomates mi-réduite,en:tomato,4
156,en:lettuce,laitue,fr:salades mélangées verte et rouge,4
157,en:chili-pepper,piments,en:chili-puree,4
158,en:e222,SULFITE acide de sodium,en:preservative,4
159,en:beef-meat,viande de bœuf,en:filling,4
160,en:water,eau,en:cooked-chickpeas,4
161,en:e120,carmin de cochenille,en:colour,4
162,en:sunflower,tournesol,en:non-hydrogenated-vegetable-fats,4
163,en:tomato,tomate,en:vegetable,4
164,en:aubergine,aubergines,fr:aubergine-prefrite,4
165,en:tomato,tomates,en:chopped-tomatoes,4
166,en:guar-flour,farine de graines de guar,en:thickener,4
167,fr:du poids net,du poids net,fr:Pâtes fraîches mises en oeuvre,4
168,en:green-pepper,poivre vert,en:pepper,4
169,en:cream,crème de _lait_,en:cream,4
170,en:anchovy,anchois,en:anchovy,4
171,en:mustard-seed,graines de moutarde,fr:moutarde-de-dijon,4
172,en:modified-starch,amidon modifié,en:thickener,4
173,en:e160a,e160a,en:colour,4
174,fr:esters citriques de mono- et diglycérides d'acides gras,esters citriques de mono- et diglycérides d'acides gras,en:emulsifier,4
175,en:onion,oignon,en:fried-onion,4
176,en:tomato,tomates,en:crushed-tomato,4
177,en:milk,lait,en:cream,4
178,en:water,eau,en:prepared-sauce,4
179,fr:poudre,poudre,en:garlic,4
180,en:tomato,tomates,en:tomato-pulp,4
181,en:chicken-fillet,filet de poulet,en:chicken,4
182,en:milk,LAIT,en:whey,4
183,en:milk,_lait_,en:whey-powder,4
184,,,en:vegetable,4
185,,,en:e1105,4
186,en:wheat-flour,Farine de BLE,fr:Ingrédients de la préparation déshydratée,4
187,en:e296,acide malique,en:acid,4
188,en:fish,poisson,en:atlantic-salmon,4
189,en:potato,pomme de terre,en:potato-flakes,4
190,en:e300,acido ascorbico,en:antioxidant,4
191,en:fish,_poisson_,fr:oeufs-de-cabillaud-fumes,4
192,en:e301,e301,en:antioxidant,4
193,en:fish,_poisson_,en:anchovy,4
194,en:poultry-broth,bouillon de volaille,fr:gelée de volaille,4
195,en:fat,graisse,en:duck,4
196,,,en:emulsifying-salts,4
197,en:wheat,_blé_,en:bread-crumbs,4
198,fr:équivaut à 10\xa0% de viande crue,équivaut à 10% de viande crue,en:pork-meat,4
199,,,en:whey,4
200,,,en:flavouring,4
201,en:e385,calcium disodium EDTA,en:antioxidant,4
202,,,en:shrimp,4
203,en:e401,alginate de sodium,en:stabiliser,4
204,en:e412,gommes de guar,en:thickener,4
205,,,en:herbs-and-spices,4
206,en:e402,alginate de potassium,en:stabiliser,4
207,en:e410,gomme de caroube,en:thickener,4
208,en:fish,poisson,fr:oeufs-de-cabillaud-fumes,4
209,,,en:cream,4
210,en:salt,Sel,fr:Ingrédients de la préparation déshydratée,4
211,,,en:anti-caking-agent,4
212,,,en:atlantic-salmon,4
213,en:basil,basilic,fr:sauce basilic,3
214,en:cream,crème,en:cream,3
215,fr:avec extraits d'oignons et d'ail frit,avec extraits d'oignons et d'ail frit,en:sunflower-oil,3
216,en:celery,dont _céleri_,en:flavouring,3
217,,,en:wine-vinegar,3
218,en:sea-salt,sel marin,en:vegetable-broth,3
219,en:milk,dont LAIT,en:flavouring,3
220,en:celery,dont céleri,en:herbs-and-spices,3
221,en:per 100 g of tomato ketchup,per 100 g of tomato ketchup,en:tomato,3
222,en:basil,basilic,fr:préparation au basilic,3
223,en:lactose,_lactose_,en:comte-cheese,3
224,,,en:raising-agent,3
225,en:katsuwonus-pelamis,Katsuwonus pelamis,en:tuna,3
226,en:basil,basilic,en:pesto,3
227,en:e316,érythorbate de sodium,en:preservative,3
228,en:milk,lait,en:whey-powder,3
229,en:cream,_crème_,en:mascarpone,3
230,en:e101,riboflavine,en:colour,3
231,en:water,eau,en:lemon-juice-from-concentrate,3
232,en:gluten,_gluten_,en:flavouring,3
233,en:water,eau,fr:riz-basmati-cuit,3
234,en:garlic,ail,en:herb,3
235,en:thyme,thym,en:herb,3
236,en:e392,extraits de romarin,en:antioxidant,3
237,en:mustard-seed,graines de _moutarde_,fr:moutarde-de-dijon,3
238,en:milk,lait,fr:parmigiano-reggiano-aop,3
239,en:milk,LAIT,en:flavouring,3
240,en:e960,steviol glycosides,en:sweetener,3
241,en:milk,LAIT,en:grana-padano-pdo-cheese,3
242,,,en:vegetable-concentrate,3
243,en:tomato,tomate,en:crushed-peeled-tomato,3
244,en:e401,alginate de sodium,en:thickener,3
245,en:e621,glutamate,en:flavour-enhancer,3
246,,,en:vegetable-protein,3
247,,,en:grana-padano-pdo-cheese,3
248,en:mustard,dont _moutarde_,en:spice,3
249,en:e509,chlorure de calcium,en:firming-agent,3
250,en:curry,curry,en:spice,3
251,en:mushroom,champignons,en:mushroom,3
252,en:beef-meat,viande de bœuf,fr:produit à base de viande de bœuf avec protéines végétales,3
253,en:tomato,tomate,en:spice,3
254,,,en:seed,3
255,en:barley,_orge_,en:malt-vinegar,3
256,en:parsley,persil,en:spice,3
257,en:milk,_lait_,fr:_fromages_ durs râpés,3
258,it:carne suina,carne suina,en:bacon,3
259,en:water,eau,en:durum-wheat-semolina-pasta,3
260,en:palm,palme,en:non-hydrogenated-vegetable-oil-and-fat,3
261,en:spice,épices,fr:epices-moulues,3
262,en:onion,oignons,en:pre-fried-onions,3
263,,,fr:puree-de-tomates-triple-concentree,3
264,en:e579,gluconate de fer,en:stabiliser,3
265,,,en:cereal,3
266,en:onion,oignons,fr:farce aux légumes,3
267,en:wheat-flour,farine de BLE,en:bread-crumbs,3
268,en:milk,_Milch_,en:natural-flavouring,3
269,en:coconut-extract,extrait de noix de coco,en:coconut-milk,3
270,en:e160c,e160c,en:colour,3
271,en:corn-starch,Amidon de maïs,fr:Ingrédients de la préparation déshydratée,3
272,en:e451,e451,en:stabiliser,3
273,en:milk,lait,en:butter,3
274,en:e450,diphosphates,en:yeast-powder,3
275,en:clove,clou de girofle,en:spice,3
276,en:wheat,dont BLÉ,en:flavouring,3
277,fr:tomates fraîches dans 100g de ketchup,tomates fraîches dans 100g de ketchup,en:double-concentrated-tomato,3
278,en:rosemary,romarin,en:herbes-de-provence,3
279,en:e150,caramel,en:colour,3
280,,,en:pepper,3
281,en:per 100g tomato ketchup,per 100g tomato ketchup,en:tomato,3
282,en:wine-vinegar,vinaigre de vin,en:balsamic-vinegar-of-modena,3
283,en:white-pepper,poivre blanc,en:spice,3
284,en:e461,méthylcellulose,en:thickener,3
285,en:colza-oil,colza,en:non-hydrogenated-vegetable-oil-and-fat,3
286,,,fr:aubergines-frites,3
287,en:colza-oil,colza,en:non-hydrogenated-vegetable-fats,3
288,en:atlantic-salmon,_saumon_ atlantique,en:smoked-salmon,3
289,en:garlic,ail,en:spice,3
290,fr:dont ail 0.06\xa0% et CELERI-feuille,dont ail 0.06% et CELERI-feuille,en:herbs-and-spices,3
291,en:smoke-flavouring,dont arôme de fumée,en:flavouring,3
292,en:e260,acide acétique,en:preservative,3
293,en:potato,pommes de terre,en:potato-flakes,3
294,en:wheat-flour,farine de BLÉ,en:bread-crumbs,3
295,en:onion,oignon,en:vegetable,3
296,,,en:pork-meat,3
297,en:sunflower-oil,huile de tournesol,fr:agent-cremeux,3
298,en:turmeric,curcuma,fr:épices et plantes aromatiques curry,2
299,fr:contiennent du céleri,contiennent du céleri,en:spice,2
300,en:water,eau,en:crushed-tomato,2
301,en:e575,delta-gluconolactone,en:acidity-regulator,2
302,en:e415,gomme xanthane,fr:épaissisant,2
303,en:unrefined-cane-sugar,sucre de canne brut,fr:jaggery,2
304,en:colza-oil,huile de colza,en:curry-paste,2
305,en:xanthan-gum-and-guar-gum,gomme xanthane et gomme de guar,en:thickener,2
306,en:water,EAU,en:soy-sauce,2
307,en:coconut-milk,lait de noix de coco,en:coconut-milk,2
308,en:coconut-milk,lait de noix de coco,en:coconut-milk-powder,2
309,en:water,Eau,en:sauce,2
310,fr:du poids net total,du poids net total,fr:viande-de-boeuf-mise-en-oeuvre,2
311,en:milk,_LAIT_,en:grana-padano-pdo-cheese,2
312,en:milk,Milch,en:flavouring,2
313,en:e415,gomme xanthane,en:gelling-agent,2
314,en:water,Eau,en:soy-sauce,2
315,en:e415,xanthan gum,en:thickener,2
316,en:chili-pepper,piments,fr:sauce piquante,2
317,en:colza-oil,colza,en:vegetable-oil,2
318,en:water,eau,en:anchovy-paste,2
319,en:chili-pepper,piment,en:spice,2
320,en:corn-starch,amidon de maïs,en:thickener,2
321,en:milk,LAIT,en:whey-powder,2
322,en:e472,e472,en:emulsifier,2
323,en:colza-oil,huile de colza,fr:sauce vinaigrette au vinaigre balsamique,2
324,en:cooked-beef-meat,boeuf cuit,en:meat,2
325,en:e500,e500,en:acidity-regulator,2
326,en:e415,Xanthan Gum,en:stabiliser,2
327,en:e415,Xanthan,en:thickener,2
328,en:milk,LAIT,en:lactose,2
329,en:e412,gommes guar,en:thickener,2
330,en:coriander,coriandre,en:spice,2
331,en:coriander,coriandre,fr:epices-moulues,2
332,en:coriander,coriandre,fr:plantes-aromatiques-deshydratees,2
333,en:e415,goma xantana,en:stabiliser,2
334,fr:Tuber aestivum Vitt,Tuber aestivum Vitt,fr:truffe noire d'été,2
335,en:courgette,courgettes,en:vegetable,2
336,en:fish,poisson,en:anchovy,2
337,en:fish,poisson,en:salmon,2
338,en:green-olives,olives vertes,fr:olives-vertes-denoyautees,2
339,en:e270,ácido láctico,en:acid,2
340,en:e270,ácido láctico,en:acidity-regulator,2
341,en:sheeps-milk,_LAIT_ de brebis,en:pecorino-romano,2
342,en:e160a,béta-carotène,en:colour,2
343,en:e150a,sirop de glucose caramélisé,en:caramelised-sugar,2
344,en:e160c,extraits de paprika,en:colour,2
345,en:e150a,e150c,en:colour,2
346,en:e300,acide ascorbique,en:preservative,2
347,en:e150a,caramel ammoniacal,en:colour,2
348,fr:anchois-sales,_anchois_ salés,en:anchovy-paste,2
349,en:e1442,e1442,en:thickener,2
350,en:e1422,e1422,en:modified-starch,2
351,en:fish,poisson,en:smoked-salmon,2
352,en:water,eau,fr:fond de canard,2
353,en:ham,jambon de porc,en:ham,2
354,en:e260,e260,en:acid,2
355,en:e260,acide acétique,en:acidity-regulator,2
356,en:e225,_métabisulfite_ de potassium,en:preservative,2
357,en:garlic,dont ail,en:herbs-and-spices,2
358,en:water,eau,fr:sauce cocktail,2
359,en:gherkin,cornichons,en:gherkin,2
360,en:e220,anhydride sulfureux,en:garlic,2
361,en:e260,e260,en:acidity-regulator,2
362,en:e270,Milchsäure,en:acidity-regulator,2
363,en:e202,sorbato potásico,en:preservative,2
364,en:milk,_lait_,en:single-cream,2
365,en:garlic,ail,en:garlic-puree,2
366,en:e262,diacétate de sodium,en:preservative,2
367,en:grape,raisins,en:grape,2
368,en:flour,Farine,fr:pate-crue,2
369,en:water,eau,fr:Quenelles,2
370,en:e301,e301,en:preservative,2
371,en:e575,glucono-delta-lactone,en:acidity-regulator,2
372,en:maltodextrins,Maltodextrine,fr:Ingrédients de la préparation déshydratée,2
373,fr:carcasses de volaille,carcasses de volaille,en:poultry-broth,2
374,en:whey,_lactosérum_,en:ricotta,2
375,en:light-cream,_crème_ légère,en:light-cream,2
376,en:e260,acetic acid,en:acid,2
377,en:e334,acide tartrique,en:acid,2
378,en:e339,phosphates de sodium,en:emulsifying-salts,2
379,en:cream,crème de lait,en:mascarpone,2
380,en:lemon-juice,jus de citron,en:dried-lemon-juice,2
381,en:maltodextrins,maltodextrine,fr:fond-de-volaille-aromatise,2
382,en:water,eau,en:mashed-potato,2
383,en:mascarpone,mascarpone,en:cheese,2
384,fr:contiennent de la _moutarde_,contiennent de la _moutarde_,en:spice,2
385,en:cow-s-milk,_lait_ de vache,fr:parmigiano-reggiano-aop,2
386,en:e407,carraghénanes,en:gelling-agent,2
387,en:lemongrass,citronnelle,en:red-curry-paste,2
388,en:e330,acido citrico,en:acidity-regulator,2
389,fr:anhydride sulfureux résiduel,anhydride sulfureux résiduel,en:antioxidant,2
390,en:wheat-flour,farine de blé,en:special-bread,2
391,en:e101,Riboflavin,en:colour,2
392,en:herbs-and-spices,épices et plantes aromatiques,fr:mix épices curry massala,2
393,en:katsuwonus-pelamis,Katsuwonus pelamis,en:skipjack-tuna,2
394,en:wheat-flour,farine de _blé_,fr:Quenelles,2
395,en:e330,acide citrique,fr:acidifant,2
396,en:durum-wheat-semolina,semoule de _blé_ dur,en:fresh-pasta,2
397,en:emmental,_emmental_,en:melted-emmental-cheese,2
398,en:curry,dont curry,en:herbs-and-spices,2
399,en:lactose,_lactose_,fr:_fromage_ parmesan Reggiano AOC,2
400,en:lactose,dont lactose,en:natural-onion-flavouring,2
401,en:dried-tomatoes,tomates séchées,fr:tomates-sechees-rehydratees,2
402,en:dill,aneth,en:herb,2
403,en:e330,acido citrico,en:acid,2
404,en:curry,dont curry,en:spice,2
405,en:water,eau,fr:moutarde-a-l-ancienne,2
406,en:milk,_lait_,en:cream,2
407,en:milk,_lait_,en:yogurt,2
408,en:sugar,sucre,en:caramel-sauce,2
409,en:anchovy,anchois,en:fish-sauce,2
410,en:anchovy,ANCHOIS,en:anchovy-paste,2
411,en:sunflower,tournesol,fr:Huiles et graisses végétales en l'état et non hydrogénées,2
412,en:onion-powder,oignon en poudre,en:spice,2
413,en:onion-powder,poudre d'oignons,en:spice,2
414,en:acide lactique,acide lactique,en:acidifiant,2
415,fr:poudre,poudre,en:onion,2
416,en:parmesan,Parmigiano Reggiano,en:parmesan,2
417,en:pasteurised-milk,lait pasteurisé,en:mozzarella,2
418,en:sulfite,sulfites,en:white-wine,2
419,,Penaeus vannamei,fr:Crevette semi-décortiquée cuite,2
420,en:sulfite,dont sulfites,en:potato-powder,2
421,en:pepper,poivre,en:herbs-and-spices,2
422,,,fr:sel acidifiant,2
423,en:per 100g Tomato Ketchup,per 100g Tomato Ketchup,en:tomato,2
424,fr:sariette,sarriette,en:herb,2
425,en:sulfite,_sulfites_,en:garlic,2
426,en:plant,plante,en:tamarind-extract,2
427,en:sugar,sucre,fr:marinade-barbecue,2
428,fr:partiellement réhydratées,partiellement réhydratées,en:dried-tomatoes,2
429,en:sunflower-oil,huile de tournesol,en:vegetable-fat,2
430,en:onion,oignon,fr:legume-deshydrate,2
431,en:nutmeg,muscade,en:spice,2
432,en:tomato,tomate,en:dried-tomatoes,2
433,en:mustard-seed,dont graines de moutarde,en:herbs-and-spices,2
434,en:thyme,thym,en:spice,2
435,en:bell-pepper,poivrons,en:red-bell-pepper,2
436,en:bell-pepper,paprika,en:curry,2
437,en:beef-meat,viande bovine,fr:préparation de viande bovine précuite,2
438,en:tea-extract,extrait de thé,en:antioxidant,2
439,en:tarragon,estragon,en:herb,2
440,fr:oeufs-de-cabillaud,oeufs de cabillaud,fr:oeufs-de-cabillaud-fumes-et-sales,2
441,en:apple,pommes,fr:compote-de-pommes,2
442,en:nutmeg,noix de muscade,en:spice,2
443,fr:oeufs-de-cabillaud-fumes,oeufs de cabillaud fumés,fr:oeufs-de-cabillaud-fumes-et-sales,2
444,fr:oeufs-de-lompe,Oeufs de _lompe_,fr:Succédané de caviar,2
445,en:oil,huiles,fr:Matières grasses,2
446,en:olives,olives,en:black-olive,2
447,en:aubergine,aubergines,en:aubergine,2
448,en:aubergine,aubergine,fr:aubergines-frites,2
449,en:artichoke-hearts,cœur d'artichaut,en:artichoke,2
450,en:pork-breast,poitrine de porc,en:smoked-lardoons,2
451,en:stabiliser,dont stabilisant,en:fresh-cream,2
452,en:butter,_beurre_,fr:poudre-au-beurre,2
453,en:potato,pomme de terre,en:dehydrated-potato-flakes,2
454,,,en:potato-flakes,2
455,fr:www.rspo.org,www.rspo.org,fr:pour plus d'informations,2
456,en:salmon,saumon,en:smoked-salmon,2
457,,,en:modified-starch,2
458,,,en:lobster,2
459,,,en:ketchup,2
460,,,en:fromage-blanc,2
461,,,en:fried-onion,2
462,,,en:fresh-egg,2
463,en:shrimp,_crevettes_,fr:crevettes-decortiquees,2
464,,,en:ferment,2
465,,,en:e415,2
466,,,en:e220,2
467,en:salt,sel,fr:olives-vertes-denoyautees,2
468,en:sardina-pilchardus,Sardina pilchardus,en:sardine,2
469,,,en:caramelised-sugar,2
470,,,en:beef-broth,2
471,en:sheeps-milk,_lait_ de brebis,en:pecorino-romano,2
472,en:sheeps-milk,LAIT de brebis,en:pecorino-romano,2
473,,,en:poultry-broth,2
474,,,en:raw-ham,2
475,,,en:red-bell-pepper,2
476,,,en:yeast-powder,2
477,en:soya-oil,huile de soja,fr:pâte de curry massaman,2
478,fr:tomates pelées en cube,tomates pelées en cube,en:tomato-pulp,2
479,fr:tomates semi-déshydratées,tomates semi-déshydratées,fr:préparation de tomates,2
480,en:potato-starch,fécule de pomme de terre,fr:préparation pour fond de veau,2
481,en:preservative,conservateur,en:white-wine,2
482,,,fr:Olives noires dénoyautées finement broyées,2
483,en:pulp,pulpe,en:tomato-pulp,2
484,en:puree,purée,en:tomato,2
485,en:soya,_soja_,en:soy-sauce,2
486,,,en:soft-white-cheese,2
487,,,en:vinegar,2
488,,,en:vegetable-fiber,2
489,en:rapeseed-lecithin,lécithine de colza,en:emulsifier,2
490,en:soft-white-cheese,_fromage_ frais,fr:_fromage_ frais nature,2
491,en:soft-white-cheese,_fromage_ frais,en:soft-white-cheese,2
492,en:red-bell-pepper,poivrons rouges,en:vegetable,2
493,en:red-bell-pepper,poivrons rouges,fr:pesto aux poivrons rouges,2
494,,,en:soy-sauce,2
495,en:tomato,tomate,en:tomato-sauce,2
496,es:tinta de sepia,tinta de sepia,es:tinta de sepia,2
497,en:celery,celery,en:herb-extract,2
498,en:milk,lait,en:fromage-blanc,2
499,en:chicken-meat,viande de poulet,en:chicken-meat,2
500,en:cheese,fromage,fr:préparation de fromage fondu,2
501,en:tomato,tomates,en:ketchup,2
502,en:cep,bolets,en:mushroom,2
503,en:chicken-fillet,filet de poulet,fr:poulet-roti-traite-en-salaison,2
504,en:tomato,tomates,fr:tomates-pelees-concassees-au-jus,2
505,en:tomato-cubes,tomates en dés,en:tomato,2
506,en:tomato-cubes,dés de tomates,en:tomato,2
507,en:milk,lait,en:cheese,2
508,en:tomato,tomates,en:peeled-tomatoes,2
509,en:milk,lait,fr:crème de Bresse AOP,2
510,en:celery,céleri,fr:traces éventuelles de,2
511,en:celery,contain Celery,en:herb-extract,2
512,en:modified-tapioca-starch,amidon transformé de manioc,en:broth,2
513,en:carrot,carotte,fr:jus-de-legumes-concentres,2
514,en:milk,lait,en:whey,2
515,en:milk,lait,en:grana-padano,2
516,en:soya,soja,en:vegetable-protein,1
517,en:soya-bean,GRAINES DE SOJA,en:black-beans,1
518,en:wheat-flour,farine de _blé_,fr:Pain spécial aux graines de pavot décongelé,1
519,en:wheat-flour,farine de ble,en:flour,1
520,en:tomato-juice,jus de tomates,en:tomato,1
521,en:water,Eau,fr:et pour .n endives au jambon,1
522,en:wheat-flour,farine de ble,en:cooked-pasta,1
523,en:wheat-flour,farine de _blé_,fr:fumet de _crustacés_,1
524,en:wheat-flour,farine de _blé_,fr:croûtons goût fines herbes et ail,1
525,en:wheat-flour,farine de _blé_,fr:_quenelle_,1
526,en:water,Eau,fr:moutarde-a-l-ancienne,1
527,en:soya'},_soja_,en:thickener,1
528,en:wheat-flour,farine de ble,fr:quenelles de brochet,1
529,en:wheat-flour,farine de ble,en:special-bread,1
530,en:soya,_soja_,en:wheat,1
531,en:tomato-powder,Poudre de tomate,fr:Ingrédients de la préparation déshydratée,1
532,en:water,Eau,fr:Ile bUüW et de Inr@dionts,1
533,en:whey,LACTOSÉRUM,en:ricotta,1
534,en:wheat-glucose-syrup,sirop de glucose de blé,en:dried-lemon-juice,1
535,en:wheat-flour,farine de froment,fr:lure,1
536,en:wheat-flour,farine de blé,fr:mini blinis nature,1
537,en:wheat-flour,farine de blé,fr:Quenelle,1
538,en:wheat-flour,farine de blé,fr:Galette de blé aux graines de lin,1
539,en:water,Eau,fr:OIENTS,1
540,en:wheat-flour,farine de ble,fr:Pain mie tex-mex,1
541,en:soya,avec soja,en:flavouring,1
542,en:wheat-flour,farine de blé,en:breadmeal,1
543,en:water,Eau,fr:Pâte alimentaire penne cuite,1
544,en:soya,soja,en:soy-sauce,1
545,en:water,Eau,fr:Sauce forestière,1
546,en:soya,soja,en:vegetable-oil,1
547,en:soya-bean,GRAINES DE SOJA,fr:PÂTE DE SOJA,1
548,en:wheat-flour,farine de ble,fr:pain-de-mie-aux-cereales,1
549,en:wheat-flour,farine de _blé_,fr:Pain de mie au pavot décongelé,1
550,en:wheat-flour,farine de _blé_,en:ravioli,1
551,en:soya-bean,graine de _soja_,en:soy-sauce,1
