,id_ingredient,O_EAN13
285,en:barley,14
286,en:soft-white-cheese,14
287,en:sweet-peppers,14
288,en:chicken-liver,14
289,en:coconut-oil,14
290,fr:contiennent du _céleri_,14
291,en:e262,14
292,en:xanthan-gum-and-guar-gum,14
293,fr:puree-de-tomates-reconstituee,14
294,en:wheat-starch,14
295,en:sesame,14
296,en:almond,14
297,en:e960,14
298,en:salmon,14
299,en:e509,14
300,en:lactic-ferments,14
301,fr:oignons-en-morceaux,14
302,fr:lait-ecreme-reconstitue,13
303,en:firming-agent,13
304,en:modified-rice-starch,13
305,en:mozzarella,13
306,en:mustard-powder,13
307,en:light-cream,13
308,en:e472e,13
309,en:e223,13
310,en:semi-skimmed-milk,13
311,en:lactose-and-milk-proteins,13
312,en:carrot-extract,13
313,en:herb-extract,13
314,fr:morceaux-de-foie-gras-de-canard,12
315,en:cucumber,12
316,fr:extrait-de-piment,12
317,en:corn-flour,12
318,en:alaska-pollock,12
319,en:onion-extract,12
320,en:whole-milk-powder,12
321,fr:mayonnaise-allegee-en-matiere-grasse,12
322,en:milk-powder,12
323,en:ham,12
324,en:chicken,12
325,en:hard-cheese,11
326,en:pre-fried-onions,11
327,en:e296,11
328,en:caramel-syrup,11
329,en:lemon-juice-from-concentrate,11
330,fr:plantes-aromatiques-deshydratees,11
331,en:egg-yolk-powder,11
332,fr:ail-seche,11
333,en:beef-fat,11
334,en:balsamic-vinegar,11
335,en:virgin-olive-oil,11
336,en:tree-nuts,11
337,en:white-wine-extract,11
338,en:glucose,11
339,fr:salt,11
340,en:tarragon,11
341,en:duck-meat,11
342,en:skipjack-tuna,11
343,en:madeira,11
344,en:ravioli,10
345,en:natural-hot-pepper-flavouring,10
346,en:red-and-yellow-bell-peppers,10
347,en:dough,10
348,en:e150d,10
349,en:shiitake,10
350,en:e472c,10
351,en:fromage-blanc,10
352,en:cardamom,10
353,en:juice,10
354,en:duck,10
355,fr:gorge-de-porc,10
356,en:grilled-courgette,10
357,en:tomato-sauce,10
358,en:jalapeno-peppers,10
359,en:brown-sugar,10
360,en:edam,10
361,en:non-hydrogenated-vegetable-fats,10
362,en:dried-lemon-juice,10
363,en:e385,9
364,en:coriander-seeds,9
365,en:natural-dill-flavouring,9
366,en:bone,9
367,en:e1422,9
368,en:fennel-seed,9
369,en:whole-milk,9
370,en:iodised-salt,9
371,en:soy-protein,9
372,en:mollusc,9
373,en:e452,9
374,en:salad,9
375,en:rapeseed-oil,9
376,en:curry-powder,9
377,fr:graines-de-moutarde-moulues,9
378,en:e160b,9
379,en:mint,9
380,en:dehydrated-glucose-syrup,9
381,fr:morceaux-de-foie-gras-de-canard-du-sud-ouest,9
382,fr:fromage-rape,9
383,en:barley-malt-extract,9
384,fr:du poids net,9
385,en:star-anise,9
386,en:bamboo-shoot,9
387,en:apple,9
388,en:spinach,9
389,fr:équivaut à 10 % de viande crue,9
390,en:galangal,9
391,en:concentrated-carrot-juice,9
392,en:coconut-extract,9
393,en:unrefined-sea-salt,9
394,en:red-onion,9
395,fr:ail-frais,8
396,fr:oeufs-de-cabillaud,8
397,en:lemon-rind,8
398,fr:poudre,8
399,fr:sirop-de-candi,8
400,it:carne suina,8
401,en:chicken-fat,8
402,en:grape-must,8
403,en:fried-onion,8
404,en:pea,8
405,fr:avec des extraits d'oignons et d'ail frits,8
406,en:seed,8
407,en:e222,8
408,en:e451,8
409,en:sardine,8
410,en:brandy,8
411,en:lupin,8
412,fr:jus-d-oignon-concentre,8
413,en:cow-s-milk,8
414,en:yeast-powder,8
415,en:espelette-chili-pepper,8
416,fr:amidons-modifies-de-mais-et-de-pomme-de-terre,8
417,en:yogurt,8
418,en:agave-syrup,8
419,fr:carottes-en-morceaux,8
420,en:cod,8
421,en:mango,8
422,en:aniseed,8
423,en:whole-egg,8
424,en:coconut,8
425,en:vitamin-d,8
426,fr:extrait-naturel-de-poivre,8
427,de:zwiebeln-gegrillt,7
428,en:e100,7
429,fr:tomates-semi-sechees,7
430,fr:fibres de canne à sucre,7
431,en:dried-basil,7
432,en:e200,7
433,en:chervil,7
434,ru:глюкозно-фруктозный-сироп,7
435,en:non-hydrogenated-vegetable-oil-and-fat,7
436,en:hydrolysed-vegetable-protein,7
437,en:sunflower-seed,7
438,en:brine,7
439,fr:Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches,7
440,fr:du poids net total,7
441,en:malt-vinegar,7
442,en:malted-wheat-flour,7
443,en:vitamins,7
444,en:caramelised-sugar-syrup,7
445,en:vitamin-a,7
446,en:avocado,7
447,en:vegetable-broth,7
448,en:tofu,7
449,en:veal-meat,7
450,en:red-beetroot,7
451,en:morels,7
452,fr:viande-de-boeuf-mise-en-oeuvre,7
453,en:katsuwonus-pelamis,7
454,fr:anchois-sales,7
455,en:pasta,7
456,fr:aubergines-frites,7
457,en:e955,7
458,en:emulsifying-salts,7
459,en:sucrose,7
460,en:fresh-onions,7
461,en:fat,7
462,en:invert-sugar-syrup,7
463,en:soya-lecithin,6
464,en:natural-oregano-flavouring,6
465,en:e508,6
466,en:natural-tarragon-flavouring,6
467,en:single-cream,6
468,en:natural-thyme-flavouring,6
469,fr:tomates semi-déshydratées,6
470,en:modified-cornflour,6
471,en:sodium-caseinate,6
472,en:grey-pepper,6
473,en:lemon-peel,6
474,en:parsnip,6
475,en:green-chili-pepper,6
476,fr:puree-de-tomates-triple-concentree,6
477,en:melted-cheese,6
478,en:e461,6
479,en:ferment,6
480,en:fish-sauce,6
481,en:rye-flour,6
482,en:pork-breast,6
483,en:free-range-chicken-egg-yolk,6
484,en:red-port,6
485,af:marjolein,6
486,en:cassia,6
487,en:coconut-cream,6
488,en:crayfish,6
489,fr:proteines-de-ble,6
490,fr:oeufs-de-cabillaud-fumes-et-sales,6
491,fr:Porto blanc,6
492,en:concentrated-grape-must,6
493,en:celeriac,6
494,en:cheese-powder,6
495,fr:Olives vertes Manzanilla,6
496,en:alcohol,6
497,en:anti-caking-agent,6
498,fr:arome-naturel-de-celeri,6
499,en:brown-flax-seeds,6
500,en:broth,6
501,fr:arome-naturel-de-muscade,6
502,fr:crevettes-decortiquees,6
503,en:baker-s-yeast,6
504,en:balsamic-vinegar-of-modena,6
505,en:e101,6
506,en:durum-wheat-semolina-pasta,6
507,fr:parmigiano-reggiano-aop,6
508,en:peanut,5
509,fr:gelée de volaille,5
510,en:pea-protein,5
511,en:e631,5
512,en:sucre,5
513,en:cream-powder,5
514,en:e627,5
515,en:ketchup,5
516,fr:porto blanc,5
517,fr:amidon-modifie-de-mais-cireux,5
518,en:eau,5
519,en:sunflower-lecithin,5
520,fr:fumet-de-poisson,5
521,en:belgian-endive,5
522,en:pineapple-juice,5
523,fr:ail poudre,5
524,en:cracked-black-pepper,5
525,en:lobster,5
526,en:mace,5
527,en:walnut,5
528,en:basil-extract,5
529,en:lime,5
530,en:vegetable-protein,5
531,en:mashed-potato,5
532,en:wheat-bran,5
533,en:vegetable-concentrate,5
534,en:beef-broth,5
535,fr:lait-en-poudre-demi-ecreme,5
536,en:beef-flavouring,5
537,en:fishpowder,5
538,en:wheat-dextrose,5
539,fr:huile-de-colza-non-hydrogenee,5
540,en:natural-paprika-flavor,5
541,en:beef-gelatin,5
542,en:whiskey,5
543,en:beef-meat-extract,5
544,en:lemon-oil,5
545,en:tamarind-extract,5
546,fr:arôme naturel de cumin,5
547,en:lovage,5
548,fr:epices-moulues,5
549,en:cantharellus-cibarius,5
550,en:xeres-vinegar,5
551,en:slippery-jack,5
552,en:e339,5
553,en:e334,5
554,en:grated-coconut,5
555,en:e325,5
556,en:e322,5
557,en:salt-from-camargue,5
558,en:red-wine-from-france,5
559,en:rehydrated-onion,5
560,en:rhum,5
561,fr:composée d'huiles d'olive raffinées et d'huiles d'olive vierges,5
562,en:rice-syrup,5
563,en:sage,5
564,en:green-peas,5
565,en:chili-puree,5
566,en:deodorized-sunflower-oil,5
567,en:e1105,5
568,en:wine,5
569,en:special-bread,5
570,fr:partiellement réhydratées,5
571,fr:basilic de Provence,5
572,fr:sale,5
573,en:fresh-egg,5
574,en:pink-salmon,5
575,en:poppy-seed,5
576,fr:tomates-pelees-concassees-au-jus,5
577,en:fresh-tomatoes,5
578,en:potato-maltodextrin,5
579,en:dehydrated-parsley,5
580,en:potato-powder,5
581,en:scallop,5
582,en:poultry-fat,5
583,en:lime-juice,4
584,fr:1,4
585,en:green-and-black-olives,4
586,en:welsh-onion,4
587,en:lettuce,4
588,fr:Provence,4
589,en:chicken-stock,4
590,en:green-onion,4
591,"fr:""",4
592,es:tinta de sepia,4
593,en:guar-flour,4
594,en:caseinate,4
595,en:juniper-berry,4
596,fr:oignon poudre,4
597,fr:mout-de-raisin-cuit,4
598,en:boletus-edulis,4
599,en:broccoli,4
600,fr:Quenelles,4
601,fr:graisse-de-porc,4
602,fr:Pâtes fraîches mises en oeuvre,4
603,it:triplo concentrato di pomodoro,4
604,fr:carcasses de volailles,4
605,fr:cardamome verte,4
606,en:pumpkin,4
607,en:smoke,4
608,fr:esters citriques de mono- et diglycérides d'acides gras,4
609,en:raising-agent,4
610,fr:en poudre,4
611,en:red-curry-paste,4
612,en:red-rice,4
613,fr:e,4
614,en:rehydrated-garlic,4
615,fr:extrait-de-vin-blanc-distille,4
616,en:rice-vinegar,4
617,en:sheep-s-milk-cheese,4
618,en:rocket,4
619,en:rose-petals,4
620,fr:contient,4
621,fr:tomates fraîches dans 100g de ketchup,4
622,en:saffron,4
623,en:sage-extract,4
624,en:sardina-pilchardus,4
625,fr:creme-fraiche-liquide,4
626,en:prepared-sauce,4
627,en:potato-fibre,4
628,en:basmati-rice,4
629,en:tapioca-maltodextrin,4
630,en:barley-malt-vinegar,4
631,fr:maigre-et-gras-de-porc,4
632,en:bacon,4
633,fr:levain-de-seigle-deshydrate-et-devitalise,4
634,fr:legume-deshydrate,4
635,en:apple-puree,4
636,en:modified-cognac,4
637,en:ail,4
638,fr:_fromage_ Parmigiano Reggiano,4
639,en:natural-sage-flavouring,4
640,fr:vin-blanc-reduit,4
641,en:sodium-citrate,4
642,fr:garlic,4
643,en:orange,4
644,fr:arome-naturel-de-moutarde,4
645,fr:arôme naturel de curry,4
646,fr:arôme naturel de piment de Cayenne,4
647,fr:arôme naturel de vin,4
648,en:pesto,4
649,fr:aubergine-prefrite,4
650,en:pink-peppercorn,4
651,fr:basilic total,4
652,en:grape,4
653,en:sel,4
654,fr:Conformément à la réglementation,4
655,en:extract,4
656,en:date,4
657,en:crab,4
658,en:e450i,4
659,en:e428,4
660,en:dehydrated-potato-flakes,4
661,en:cornmeal,4
662,fr:Conservation,4
663,en:flour,4
664,en:e304,4
665,en:e402,4
666,fr:Foie gras de canard halal,4
667,en:flax,4
668,en:desiccated-coconut,4
669,fr:France,4
670,fr:salade-composee,4
671,en:e331,4
672,fr:piment kashmiri,4
673,fr:salades mélangées verte et rouge,4
674,en:cooking-broth,4
675,en:e327,4
676,fr:water,4
677,en:cooked-rice,4
678,en:e460,4
679,fr:origan-deshydrate,4
680,en:e141,4
681,fr:aroma,3
682,en:artichoke-hearts,3
683,en:smoked-atlantic-salmon,3
684,en:prune,3
685,fr:Service consommateur,3
686,en:milkfat,3
687,en:en poudre,3
688,en:turmeric-powder,3
689,en:smoked-lardoons,3
690,en:animal-based-rennet,3
691,fr:racines de coriandre,3
692,en:vegetable-fat,3
693,en:poultry-liver,3
694,en:allspice,3
695,en:per 100 g of tomato ketchup,3
696,en:paprika-paste,3
697,en:sundried-tomatoes,3
698,en:poultry-extract,3
699,en:turkey-meat,3
700,fr:extrait-de-legumes,3
701,fr:purée de tomates d'Aquitaine,3
702,fr:zout,3
703,en:melted-emmental-cheese,3
704,en:trout,3
705,fr:porto blanc et rouge,3
706,en:e1442,3
707,en:mackarel-fillet,3
708,fr:CELERI feuilles,3
709,fr:fond-de-veau,3
710,fr:poudre-au-beurre,3
711,en:pea-fiber,3
712,en:penne,3
713,en:rapeseed-lecithin,3
714,fr:foie,3
715,en:bamboo-fibre,3
716,en:e341,3
717,en:raisin,3
718,fr:teneur totale en sucre,3
719,fr:Allergènes,3
720,en:pasteurised-cow-s-milk,3
721,fr:réduite,3
722,fr:traces éventuelles de,3
723,fr:produit à base de viande de bœuf avec protéines végétales,3
724,fr:tomates Cœur de Bœuf,3
725,fr:inosinate et guanylate de sodium,3
726,de:weichweizenmehl,3
727,fr:fibre de maïs,3
728,en:per 100g tomato ketchup,3
729,en:thyme-extract,3
730,fr:farine de _noix de cajou_,3
731,en:thunnus-albacares,3
732,en:non-hydrogenated-sunflower-oil,3
733,fr:tomates-semi-sechees-marinees,3
734,en:plant,3
735,en:pizza-dough,3
736,fr:agent-cremeux,3
737,fr:aiguillettes-de-poulet,3
738,en:pineapple-juice-from-concentrate,3
739,en:acidifiant,3
740,fr:gras de canard,3
741,en:orange-juice,3
742,fr:avec extraits d'oignons et d'ail frit,3
743,fr:basilic italien,3
744,fr:Gelée de couverture,3
745,en:oignon,3
746,fr:gelée de groseille,3
747,fr:graines-de-celeri,3
748,en:sweet-and-sour-sauce,3
749,fr:Foie gras d'oie,3
750,fr:fromage-frais-a-0-de-matiere-grasse,3
751,fr:huile de noix de cajou,3
752,fr:a,3
753,en:deactivated-yeast,3
754,fr:pois-chiches-rehydrates,3
755,en:acerola,3
756,en:natural-colours,3
757,fr:huile vierge extra,3
758,en:natural-extract,3
759,fr:huile essentielle de basilic,3
760,fr:Zucker,3
761,en:natural-herbs-flavouring,3
762,fr:extrait-naturel-de-citron,3
763,en:fenugreek-seed,3
764,fr:extrait-naturel-de-curcuma,3
765,fr:épices et plantes aromatiques curry,3
766,en:natural-paprika-extract,3
767,fr:poivre du Brésil,3
768,fr:ble-malte-concasse,3
769,fr:farce aux légumes,3
770,fr:riz-basmati-cuit,3
771,fr:_fromages_ durs râpés,3
772,en:natural-lemon-flavouring,3
773,en:e1510,3
774,en:lovage-root,3
775,en:cereal,3
776,en:yellow-carrot,3
777,fr:sedano,3
778,en:cauliflower,3
779,en:e252,3
780,en:roquefort,3
781,en:high-fructose-corn-syrup,3
782,en:high-oleic-sunflower-oil,3
783,fr:oignons carottes,3
784,en:carob-flour,3
785,fr:sauce-tomate-cuisinee,3
786,en:huile d'olive vierge extra,3
787,fr:pain-de-mie-aux-cereales,3
788,fr:83440 Montauroux,3
789,en:dried-aubergine,3
790,fr:à la mise en oeuvre,3
791,en:cabbage,3
792,en:butter-natural-flavouring,3
793,fr:Piment rouge piquant,3
794,fr:sauce piquante,3
795,fr:préparation au basilic,3
796,fr:cognac fine Champagne à usage professionnel,3
797,fr:vierge extra,3
798,en:rye-malt-flour,3
799,en:concentrated-mushroom-juice,3
800,en:zygochlamys-patagonica,3
801,en:goat-cheese,3
802,en:sel de cuisine,3
803,fr:2,3
804,en:golden-chanterelle,3
805,en:scomber-scombrus,3
806,fr:set,3
807,en:chorizo,3
808,en:sesame-oil,3
809,en:sardine-fillets,3
810,fr:onions,3
811,fr:%,3
812,en:coconut-milk-powder,3
813,fr:Olives noires à la grecque,3
814,fr:cu,3
815,en:comte-cheese,3
816,en:concentrated-apple-juice,3
817,es:sirope-de-glucosa-de-maiz,3
818,fr:cumin noir,3
819,en:ground-white-pepper,3
820,en:e225,3
821,en:rye-sourdough,3
822,fr:dés,3
823,"fr:dont ail 0,06 % et CELERI-feuille",3
824,en:flavouring-preparation,3
825,fr:Pulpe de tomate avec morceaux et purée de tomate mi-réduite à base de concentré,3
826,en:wheat-semolina,3
827,en:flax-seed,3
828,en:lardon,3
829,en:black-olives-oil,3
830,en:wheat-germ,3
831,fr:moutarde-a-l-ancienne,3
832,en:condiment,3
833,en:shrimp-powder,3
834,fr:cheddar-orange-fondu,3
835,en:concentrated-shallot-juice,3
836,fr:protéines végétales de _soja_,3
837,fr:chair-de-poisson,3
838,fr:citrique,3
839,en:red-beans,3
840,fr:sauce basilic,3
841,en:beef-tongue,3
842,en:forest-mushroom,3
843,en:raw-ham,3
844,en:whey-product,3
845,fr:Purée de tomate mi-réduite à base de concentré et pulpe de tomate avec morceaux,3
846,en:skimmed-milk,3
847,en:kaffir-lime,3
848,en:beetroot,3
849,fr:crème à base de vinaigre balsamique de Modène,2
850,fr:basilic Génois,2
851,fr:tomates cerises au jus,2
852,fr:tomates cerises jaunes,2
853,fr:présure de vache,2
854,fr:filet de _saumon_,2
855,en:small-white-onions,2
856,fr:cuite,2
857,fr:filets-de-maquereaux-cuits-au-court-bouillon,2
858,fr:carottes fraîches,2
859,fr:crème de riz complet,2
860,fr:extrait-d-huitre,2
861,fr:Canard et poulet,2
862,fr:Crevette semi-décortiquée cuite,2
863,fr:arôme naturel de feuille de coriandre,2
864,fr:crème d'anchois,2
865,fr:egg yolk,2
866,fr:pâte de tamarin,2
867,fr:tomates double concentrées,2
868,fr:fond de canard,2
869,fr:chair-de-brochet,2
870,fr:ascorbic acid,2
871,fr:pulpe-de-homard,2
872,fr:Coulis de tomates de Provence,2
873,fr:champignons-de-paris-eminces,2
874,fr:fish,2
875,fr:creme-fraiche-legere-epaisse,2
876,fr:Conseils de conservation,2
877,en:spelt-flour,2
878,fr:cheddar-orange,2
879,fr:poudre-de-vinaigre-d-alcool,2
880,fr:crème de Bresse AOP,2
881,fr:poulet-roti-traite-en-salaison,2
882,fr:correcteur,2
883,fr:proteines-de-petit-lait,2
884,fr:el,2
885,fr:Chili Aji Panca,2
886,en:sodium-chloride,2
887,fr:concentre-de-carotte,2
888,fr:carcasses de volaille,2
889,fr:préparation de fromage fondu,2
890,fr:carcasse de volaille,2
891,fr:compote-de-pommes,2
892,fr:proteines-de-lait-en-poudre,2
893,fr:Conserver au frais après ouverture et consommer rapidement,2
894,fr:purée de tomates mi,2
895,fr:bouquet provençal,2
896,fr:cognac modiﬁé,2
897,fr:purée de tomates de Provence,2
898,fr:Energie,2
899,fr:extrait-de-poulet,2
900,fr:Conserver au frais et au sec,2
901,fr:préparation de tomates,2
902,fr:préparation pour fond de veau,2
903,"fr:cipolle""",2
904,fr:préparation légumes,2
905,fr:cipolla,2
906,fr:purée de tomate mi-réduite à base de concentré et pulpe de tomate avec morceaux,2
907,en:soy-flakes,2
908,fr:cardamome noire,2
909,fr:câpres au vinaigre,2
910,fr:pâte de curry massaman,2
911,fr:préparation de viande bovine précuite,2
912,fr:pâte de citron,2
913,en:shrimp-paste,2
914,fr:contiennent de la _moutarde_,2
915,fr:betterave blanche,2
916,fr:betterave-rouge-deshydratee,2
917,fr:farine de _NOIX DE CAJOU_,2
918,en:smoked-bacon,2
919,fr:pour plus d'informations,2
920,fr:CONSERVATION,2
921,fr:olives vertes Manzanilla,2
922,en:squid,2
923,fr:sacla,2
924,fr:Purée de tomates de Provence,2
925,en:wheat-glucose-syrup,2
926,fr:Purée de tomate de Provence et Languedoc à base de concentré,2
927,fr:Pulpe de tomates avec morceaux et purée de tomates mi-réduite à base de concentré,2
928,fr:sauce barbecue,2
929,fr:Pulpe de tomate avec morceaux et concentré de tomate,2
930,fr:mélange aromatisant,2
931,fr:pate-crue,2
932,fr:séchées,2
933,fr:Produit en Italie,2
934,en:white-quinoa,2
935,fr:sauce cocktail,2
936,fr:Pote,2
937,fr:sauce condimentaire,2
938,fr:Picholine du Maroc,2
939,fr:peperoncino,2
940,fr:sauce au poivre,2
941,fr:Knoblauch,2
942,fr:Ingrédients du produit déshydraté,2
943,fr:légumes oignons,2
944,en:vitamin-b12,2
945,fr:maltodextrine-fumee,2
946,fr:marinade-barbecue,2
947,fr:mix épices curry massala,2
948,fr:Ingrédients Eau,2
949,fr:piment Guajillo,2
950,fr:Karamellzuckersirup,2
951,fr:Jaune,2
952,fr:morceaux de foie gras d'oie,2
953,fr:pesto aux poivrons rouges,2
954,fr:A consommer de préférence avant la date figurant sur la capsule,2
955,fr:morceaux de foie gras de canard halal,2
956,fr:sauce anglaise,2
957,fr:Pasteuriseret,2
958,en:whole-wheat-flour,2
959,fr:oeufs-de-lompe,2
960,fr:sel présure,2
961,fr:Matières grasses,2
962,fr:Olives noires dénoyautées finement broyées,2
963,fr:sel non traité,2
964,fr:Maïs à éclater,2
965,fr:0,2
966,fr:olive noire variété kalamata,2
967,fr:olives vertes manzanillas dénoyautées,2
968,es:tomate concentrado reconstituido,2
969,fr:olive oil,2
970,fr:olive verte égouttée,2
971,fr:semoule-de-ble-dur-precuite,2
972,fr:olives vertes manzanilla,2
973,fr:220 Impasse du Plon Oriental,2
974,fr:olives noires confites d'importation,2
975,fr:sel acidifiant,2
976,"fr:sel 2,8 % * en choisissant ce produit",2
977,fr:sauce vinaigrette au vinaigre balsamique,2
978,en:yellow-mustard-seed,2
979,fr:Pancetta,2
980,fr:os-et-viande-de-poulet,2
981,fr:POIDS NET,2
