,EAN13,ingredients_n,compared_to_category,pnns_groups_1,ingredients_text,countries_hierarchy,ingredients,serving_size,category_properties,product_name_fr,brands,manufacturing_places,product_name,categories,nutriments,serving_quantity,cities_tags,pnns_groups_2,interface_version_modified,salt_content,oil_content
27,2000000027533,15.0,en:curry-sauces,Fat and sauces,"Sucre, purée de pommes (pommes, sucre), eau, vinaigre d'alcool, purée de tomates, 2% curry (dont _moutarde_), sel, huile de colza, épaississant (E415), épices, arôme naturel.",['en:france'],"['Sucre', 'purée de pommes', 'eau', ""vinaigre d'alcool"", 'purée de tomates', 'curry', 'sel', 'huile de colza', 'épaississant', 'épices', 'arôme naturel', 'pommes', 'sucre', 'dont _moutarde_', 'e415']",25 ml,"{'ciqual_food_name:fr': 'Sauce au curry, préemballée', 'ciqual_food_name:en': 'Curry sauce, prepacked'}",Sauce Classic Curry,McDonald's,,Sauce Classic Curry,"Epicerie, Sauces, Sauces au curry","{'carbon-footprint-from-known-ingredients_100g': 4.4, 'sodium_100g': 0.4, 'nutrition-score-fr': 12, 'salt': 1, 'proteins_serving': 0, 'sodium': 0.4, 'energy-kj_unit': 'kJ', 'energy-kj_value': 648, 'sugars_value': 34, 'energy': 648, 'fiber': 0, 'fiber_unit': 'g', 'energy_100g': 648, 'carbon-footprint-from-known-ingredients_serving': 1.1, 'sugars_unit': 'g', 'energy_serving': 162, 'fiber_serving': 0, 'energy-kj': 648, 'sugars_100g': 34, 'salt_unit': 'g', 'saturated-fat_serving': 0, 'energy-kj_100g': 648, 'nova-group_100g': 4, 'nova-group': 4, 'fat_serving': 0, 'fiber_100g': 0, 'carbon-footprint-from-known-ingredients_product': 1.1, 'carbohydrates_serving': 9.5, 'energy_unit': 'kJ', 'salt_100g': 1, 'sodium_value': 0.4, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 4, 'fat': 0, 'proteins': 0, 'energy_value': 648, 'sodium_serving': 0.1, 'salt_serving': 0.25, 'proteins_unit': 'g', 'carbohydrates_100g': 38, 'fiber_value': 0, 'fat_unit': 'g', 'salt_value': 1, 'nova-group_serving': 4, 'sugars': 34, 'carbohydrates_value': 38, 'fat_value': 0, 'proteins_value': 0, 'saturated-fat': 0, 'nutrition-score-fr_serving': 12, 'sodium_unit': 'g', 'sugars_serving': 8.5, 'saturated-fat_100g': 0, 'carbohydrates_unit': 'g', 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'energy-kj_serving': 162, 'nutrition-score-fr_100g': 12, 'fat_100g': 0, 'proteins_100g': 0, 'carbohydrates': 38}",25,[],Dressings and sauces,20120622,"[{'text': 'sel', 'id': 'en:salt', 'percent_min': 0, 'percent_max': '2', 'rank': 7, 'vegan': 'yes', 'vegetarian': 'yes'}]","[{'from_palm_oil': 'no', 'percent_min': 0, 'rank': 8, 'text': 'huile de colza', 'id': 'en:colza-oil', 'percent_max': '2', 'vegan': 'yes', 'vegetarian': 'yes'}]"
28,2000000030700,27.0,en:sauces,Fat and sauces,"Sucre, eau, sirop de glucose, vinaigre d'alcool, 7% oignons, vinaigre de vin rouge, 5% bacon (porc, sel, antioxydant (E316), conservateur (E250), fumée), concentré de tomates, amidon modifié de maïs, sel, huile de colza, sirop de sucre caramélisé, huile de tournesol, extrait de levure, arôme naturel, épaississant (E415), conservateur (E202), arôme de fumée",['en:france'],"['Sucre', 'eau', 'sirop de glucose', ""vinaigre d'alcool"", 'oignons', 'vinaigre de vin rouge', 'bacon', 'concentré de tomates', 'amidon modifié de maïs', 'sel', 'huile de colza', 'sirop de sucre caramélisé', 'huile de tournesol', 'extrait de levure', 'arôme naturel', 'épaississant', 'conservateur', 'arôme de fumée', 'porc', 'sel', 'antioxydant', 'conservateur', 'fumée', 'e415', 'e202', 'e316', 'e250']",25 ml,{},Bacon & Onion Sauce,McDonald's,,Bacon & Onion Sauce,"Epicerie, Sauces","{'fiber_value': 0, 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 2.1, 'sugars': 32, 'proteins_value': 2.9, 'fat_value': 3, 'carbohydrates_value': 41, 'carbon-footprint-from-known-ingredients_product': 10.3, 'carbohydrates_serving': 10.2, 'energy_unit': 'kJ', 'carbon-footprint-from-meat-or-fish_100g': 37, 'sodium_value': 0.8400000000000001, 'salt_100g': 2.1, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 7, 'fat': 3, 'proteins': 2.9, 'energy_value': 849, 'sodium_serving': 0.21000000000000002, 'salt_serving': 0.525, 'proteins_unit': 'g', 'carbohydrates_100g': 41, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'energy-kj_serving': 212, 'nutrition-score-fr_100g': 18, 'fat_100g': 3, 'proteins_100g': 2.9, 'carbohydrates': 41, 'carbon-footprint-from-meat-or-fish_product': 9.25, 'saturated-fat': 0, 'nutrition-score-fr_serving': 18, 'sodium_unit': 'g', 'sugars_serving': 8, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0, 'salt': 2.1, 'energy-kj_value': 849, 'energy-kj_unit': 'kJ', 'proteins_serving': 0.725, 'sodium': 0.8400000000000001, 'sugars_value': 32, 'energy': 849, 'fiber_unit': 'g', 'fiber': 0, 'energy_100g': 849, 'carbon-footprint-from-known-ingredients_100g': 41.2, 'sodium_100g': 0.8400000000000001, 'nutrition-score-fr': 18, 'sugars_100g': 32, 'salt_unit': 'g', 'saturated-fat_serving': 0, 'energy-kj_100g': 849, 'nova-group_100g': 4, 'carbon-footprint-from-meat-or-fish_serving': 9.25, 'nova-group': 4, 'fiber_100g': 0, 'fat_serving': 0.75, 'carbon-footprint-from-known-ingredients_serving': 10.3, 'sugars_unit': 'g', 'energy_serving': 212, 'fiber_serving': 0, 'energy-kj': 849}",25,[],Dressings and sauces,20120622,"[{'rank': 10, 'vegan': 'yes', 'percent_max': '5', 'vegetarian': 'yes', 'percent_min': 0, 'text': 'sel', 'id': 'en:salt'}, {'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 2.5, 'percent_min': 0, 'id': 'en:salt', 'text': 'sel'}]","[{'from_palm_oil': 'no', 'percent_min': 0, 'rank': 11, 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '5', 'id': 'en:colza-oil', 'text': 'huile de colza'}, {'rank': 13, 'percent_min': 0, 'from_palm_oil': 'no', 'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '5'}]"
29,2000000050733,9.0,en:pimented-sauces,Fat and sauces,"Tomates coeur de boeuf,oignon rouge, ail, eau, piment de cayenne, vinaigre de cidre, huile d'olive extra vierge, basilic frais, sel",['en:france'],"['Tomates coeur de boeuf', 'oignon rouge', 'ail', 'eau', 'piment de cayenne', 'vinaigre de cidre', ""huile d'olive extra vierge"", 'basilic frais', 'sel']",,{},Sauce Pimentée Artisanale Sicilien Énervé,Pekočko,Slovénie,Sauce Pimentée Artisanale Sicilien Énervé,"Epicerie, Sauces, Sauces pimentées","{'nova-group_100g': 3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'nova-group_serving': 3, 'nova-group': 3}",,[],Dressings and sauces,20120622,"[{'vegetarian': 'yes', 'percent_max': 11.11111111111111, 'vegan': 'yes', 'rank': 9, 'percent_min': 0, 'id': 'en:salt', 'text': 'sel'}]","[{'rank': 7, 'percent_min': 0, 'from_palm_oil': 'no', 'vegetarian': 'yes', 'percent_max': 14.285714285714286, 'vegan': 'yes', 'id': 'en:extra-virgin-olive-oil', 'text': ""huile d'olive extra vierge""}]"
30,20154202,25.0,en:curry-sauces,Fat and sauces,"Eau, poivrons crème (_lait_), carottes (4,5 %), sucre, ananas (4 %), poivrons verts d'ananas (2,5 %), amidon modifié de maïs, huile de colza, raisins secs, vinaigre de vin, curry en poudre (1 %), sel, ail, épices, arôme, stabilisant' gomme xanthane ; double concentré de tomates, acidifiant: acide lactique, colorants : caroténoïdes, extrait de paprika; antioxydant: acide ascorbique.","['en:belgium', 'en:france']","['Eau', 'poivrons crème', 'carottes', 'sucre', 'ananas', ""poivrons verts d'ananas"", 'amidon modifié de maïs', 'huile de colza', 'raisins secs', 'vinaigre de vin', 'curry en poudre', 'sel', 'ail', 'épices', 'arôme', ""stabilisant' gomme xanthane"", 'double concentré de tomates', 'acidifiant', 'colorants', 'extrait de paprika', 'antioxydant', '_lait_', 'acide lactique', 'caroténoïdes', 'acide ascorbique']",,"{'ciqual_food_name:en': 'Curry sauce, prepacked', 'ciqual_food_name:fr': 'Sauce au curry, préemballée'}",Wok Sauce - Curry,"Vitasia,Vitasia Thai,Lidl",,Wok Sauce - Curry,"Epicerie, Sauces, Sauces au curry","{'nutrition-score-fr_serving': 5, 'saturated-fat': 0.8, 'saturated-fat_100g': 0.8, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'nutrition-score-fr_100g': 5, 'fat_100g': 3.5, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.8, 'carbohydrates': 11.5, 'proteins_100g': 0.6, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 10.5, 'fat': 3.5, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 23.3, 'salt_100g': 0.8999999999999992, 'sodium_value': 0.36, 'proteins_unit': 'g', 'carbohydrates_100g': 11.5, 'proteins': 0.6, 'energy_value': 82, 'fiber_value': 0, 'energy-kcal_100g': 82, 'sugars': 8.5, 'energy-kcal_unit': 'kcal', 'fat_value': 3.5, 'proteins_value': 0.6, 'carbohydrates_value': 11.5, 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 0.9, 'sugars_unit': 'g', 'nova-group_100g': 4, 'sugars_100g': 8.5, 'salt_unit': 'g', 'fiber_100g': 0, 'nova-group': 4, 'carbon-footprint-from-known-ingredients_100g': 4.75, 'sodium_100g': 0.36, 'nutrition-score-fr': 5, 'energy-kcal_value': 82, 'sodium': 0.36, 'salt': 0.8999999999999992, 'energy_100g': 343, 'energy-kcal': 82, 'sugars_value': 8.5, 'energy': 343, 'fiber': 0, 'fiber_unit': 'g'}",,[],Dressings and sauces,20150316.jqm2,"[{'percent_min': 0, 'vegetarian': 'yes', 'rank': 12, 'percent_max': '1', 'vegan': 'yes', 'id': 'en:salt', 'text': 'sel'}]","[{'from_palm_oil': 'no', 'percent_min': '1', 'rank': 8, 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '2.5', 'id': 'en:colza-oil', 'text': 'huile de colza'}]"
31,20148188,24.0,en:pepper-sauces,Fat and sauces,"Eau, crème légère fraîche (4,4 %) (_lait_, stabilisant : carraghénanes), amidon modifié de maïs, vin rouge, arôme naturel (contient du _céleri_), poivres (1,27 %) (grains de poivre vert saumurés 1,2 % (poivres, eau, sel), poivre noir 0,06 %, poivre blanc 0,01 %), cognac modifié (cognac, arôme naturel), extrait de levure, huile de colza, lactose, arôme, vinaigre de vin blanc, sel.",['en:france'],"['Eau', 'crème légère fraîche', 'amidon modifié de maïs', 'vin rouge', 'arôme naturel', 'poivres', 'cognac modifié', 'extrait de levure', 'huile de colza', 'lactose', 'arôme', 'vinaigre de vin blanc', 'sel', '_lait_', 'stabilisant', 'grains de poivre vert saumurés', 'poivre noir', 'poivre blanc', 'cognac', 'arôme naturel', 'carraghénanes', 'poivres', 'eau', 'sel']",,"{'ciqual_food_name:en': 'Sauce, pepper, prepacked'}","Sauce aux 3 Poivres (Poivres vert, noir et blanc)","Toque du Chef,Lidl Stiftung & Co. KG","Les Délices de la Mer (Filiale Groupe Le Graët) - ZA des 4 Voies - 22170 Plélo,Côtes-d'Armor,Bretagne,France","Sauce aux 3 Poivres (Poivres vert, noir et blanc)","Epicerie, Sauces, Sauces au poivre","{'sugars_unit': 'g', 'energy-kj': 147, 'salt_unit': 'g', 'sugars_100g': 0.7, 'energy-kj_100g': 147, 'nova-group_100g': 4, 'nova-group': 4, 'fiber_100g': 0.6, 'carbon-footprint-from-known-ingredients_100g': 19.677000000000003, 'nutrition-score-fr': 3, 'sodium_100g': 0.32, 'salt': 0.8, 'sodium': 0.32, 'energy-kj_value': 147, 'energy-kj_unit': 'kJ', 'energy': 147, 'sugars_value': 0.7, 'fiber_unit': 'g', 'fiber': 0.6, 'energy_100g': 147, 'saturated-fat': 0.5, 'nutrition-score-fr_serving': 3, 'sodium_unit': 'g', 'saturated-fat_100g': 0.5, 'carbohydrates_unit': 'g', 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.5, 'nutrition-score-fr_100g': 3, 'fat_100g': 1, 'proteins_100g': 1.1, 'carbohydrates': 5.1, 'carbon-footprint-from-known-ingredients_product': 39.4, 'energy_unit': 'kJ', 'salt_100g': 0.8, 'sodium_value': 0.32, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fat': 1, 'proteins': 1.1, 'energy_value': 147, 'proteins_unit': 'g', 'carbohydrates_100g': 5.1, 'fiber_value': 0.6, 'fat_unit': 'g', 'salt_value': 0.8, 'nova-group_serving': 4, 'sugars': 0.7, 'proteins_value': 1.1, 'carbohydrates_value': 5.1, 'fat_value': 1}",,['plelo-cotes-d-armor-france'],Dressings and sauces,20120622,"[{'text': 'sel', 'id': 'en:salt', 'rank': 13, 'vegan': 'yes', 'vegetarian': 'yes'}, {'vegetarian': 'yes', 'vegan': 'yes', 'id': 'en:salt', 'text': 'sel'}]","[{'text': 'huile de colza', 'id': 'en:colza-oil', 'rank': 9, 'vegan': 'yes', 'vegetarian': 'yes', 'from_palm_oil': 'no'}]"
32,2022314279994,9.0,en:tomato-sauces,Fat and sauces,"Tomate 84 %, huile de graines de tournesol, carotte 3 %, basilic 2 %, oignon, _céleri_, sel, acidifiant : acide citrique.",['en:france'],"['Tomate', 'huile de graines de tournesol', 'carotte', 'basilic', 'oignon', '_céleri_', 'sel', 'acidifiant', 'acide citrique']",,{},Sugo al Basilico,Rummo,Italie,Sugo al Basilico,"Epicerie, Sauces, Sauces tomate","{'sodium_value': 0.27999999999999997, 'salt_100g': 0.6999999999999998, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 150, 'fat': 4.8, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 87, 'energy_value': 291, 'fruits-vegetables-nuts-estimate_unit': '', 'proteins': 1.5, 'carbohydrates_100g': 4.3, 'proteins_unit': 'g', 'fiber_value': 1.8, 'salt_value': 0.7, 'nova-group_serving': 3, 'fat_unit': 'g', 'proteins_value': 1.5, 'fat_value': 4.8, 'carbohydrates_value': 4.3, 'sugars': 3.7, 'saturated-fat': 0.6, 'nutrition-score-fr_serving': -3, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.6, 'saturated-fat_value': 0.6, 'saturated-fat_unit': 'g', 'fat_100g': 4.8, 'nutrition-score-fr_100g': -3, 'proteins_100g': 1.5, 'carbohydrates': 4.3, 'carbon-footprint-from-known-ingredients_100g': 42.9, 'fruits-vegetables-nuts-estimate': 87, 'fruits-vegetables-nuts-estimate_100g': 87, 'sodium_100g': 0.27999999999999997, 'nutrition-score-fr': -3, 'salt': 0.6999999999999998, 'sodium': 0.27999999999999997, 'energy-kj_value': 291, 'energy-kj_unit': 'kJ', 'fiber': 1.8, 'fiber_unit': 'g', 'sugars_value': 3.7, 'energy': 291, 'energy_100g': 291, 'sugars_unit': 'g', 'fruits-vegetables-nuts-estimate_value': 87, 'energy-kj': 291, 'energy-kj_100g': 291, 'salt_unit': 'g', 'sugars_100g': 3.7, 'nova-group_100g': 3, 'fruits-vegetables-nuts-estimate_serving': 87, 'nova-group': 3, 'fiber_100g': 1.8, 'fruits-vegetables-nuts-estimate_label': '0'}",,[],Dressings and sauces,20120622,"[{'text': 'sel', 'id': 'en:salt', 'vegan': 'yes', 'rank': 7, 'percent_max': '2', 'vegetarian': 'yes', 'percent_min': 0}]",[]
33,20248857,11.0,en:tomato-sauces,Fat and sauces,"Basilic (20%), huile de tournesol, concentré de tomate (20 %), courgette, noix de cajou, sel, fromage Parmigiano Reggiano (1 %) (lait), ail, acidifiant : acide lactique.",['en:france'],"['Basilic', 'huile de tournesol', 'concentré de tomate', 'courgette', 'noix de cajou', 'sel', 'fromage Parmigiano Reggiano', 'ail', 'acidifiant', 'lait', 'acide lactique']",,{},pesto rosso à la tomate.,Segreti di RIVA,Italie,pesto rosso à la tomate.,"Epicerie, Sauces, Sauces tomate","{'carbon-footprint-from-known-ingredients_product': 110, 'carbon-footprint-from-known-ingredients_100g': 58, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 30.666666666666668, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nova-group': 3}",,[],Dressings and sauces,20150316.jqm2,"[{'id': 'en:salt', 'text': 'sel', 'percent_min': '1', 'vegetarian': 'yes', 'vegan': 'yes', 'rank': 6, 'percent_max': 12.333333333333332}]","[{'percent_min': '20', 'from_palm_oil': 'no', 'rank': 2, 'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'percent_max': '20', 'vegan': 'yes', 'vegetarian': 'yes'}]"
34,20381974,14.0,en:pepper-sauces,Fat and sauces,"huile de colza , eau , sirop de glucose-fructose , vinaigre , jaune doeuf , sel, 2.2% poivre noir , amidon modifie de ble , 1.3% brandy , moutarde de dijon , amidon modifie de maïs , epaississant : gomme de guar , gomme xanthane",['en:france'],"['huile de colza', 'eau', 'sirop de glucose-fructose', 'vinaigre', 'jaune doeuf', 'sel', 'poivre noir', 'amidon modifie de ble', 'brandy', 'moutarde de dijon', 'amidon modifie de maïs', 'epaississant', 'gomme xanthane', 'gomme de guar']",,"{'ciqual_food_name:en': 'Sauce, pepper, prepacked'}",Sauce poivre,Kania,,Sauce poivre,"Epicerie, Sauces, Sauces au poivre","{'energy-kcal_100g': 504, 'salt_unit': 'g', 'energy-kcal': 504, 'energy_unit': 'kcal', 'sodium_unit': 'g', 'energy_value': 504, 'saturated-fat': 3.7, 'salt_100g': 2.4, 'energy-kcal_unit': 'kcal', 'energy_100g': 2109, 'carbohydrates_100g': 9.3, 'carbon-footprint-from-known-ingredients_product': 4.95, 'nova-group': 4, 'saturated-fat_value': 3.7, 'salt': 2.4, 'proteins': 0.9, 'carbohydrates_unit': 'g', 'sodium_100g': 0.96, 'sugars_value': 4.8, 'fat_value': 51.3, 'sugars_100g': 4.8, 'sugars_unit': 'g', 'nutrition-score-fr': 20, 'nova-group_100g': 4, 'fat': 51.3, 'sodium_value': 0.96, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 7.6923076923076925, 'saturated-fat_unit': 'g', 'nova-group_serving': 4, 'fat_100g': 51.3, 'saturated-fat_100g': 3.7, 'proteins_unit': 'g', 'sugars': 4.8, 'proteins_100g': 0.9, 'energy': 2109, 'energy-kcal_value': 504, 'nutrition-score-fr_100g': 20, 'carbohydrates': 9.3, 'proteins_value': 0.9, 'carbohydrates_value': 9.3, 'fat_unit': 'g', 'sodium': 0.96, 'salt_value': 2.4}",,[],Dressings and sauces,20150316.jqm2,"[{'vegetarian': 'yes', 'percent_min': '2.2', 'vegan': 'yes', 'percent_max': 15.866666666666667, 'id': 'en:salt', 'rank': 6, 'text': 'sel'}]","[{'from_palm_oil': 'no', 'rank': 1, 'vegan': 'yes', 'percent_max': 84.2, 'text': 'huile de colza', 'vegetarian': 'yes', 'percent_min': 7.6923076923076925, 'id': 'en:colza-oil'}]"
35,20469894,,en:pestos,Fat and sauces,,"['en:france', 'en:spain']",[],,"{'ciqual_food_name:fr': 'Sauce pesto, préemballée', 'ciqual_food_name:en': 'Sauce, pesto, prepacked'}",Pesto Trapanese,Italiamo,Italie,Pesto Trapanese,"Epicerie, Sauces, Sauces Pesto","{'energy': 812, 'sugars_value': 2.9, 'energy_100g': 812, 'energy-kcal': 194, 'salt': 0.8, 'sodium': 0.32, 'energy-kcal_value': 194, 'sodium_100g': 0.32, 'nutrition-score-fr': 6, 'sugars_100g': 2.9, 'salt_unit': 'g', 'sugars_unit': 'g', 'fat_unit': 'g', 'salt_value': 0.8, 'sugars': 2.9, 'energy-kcal_unit': 'kcal', 'carbohydrates_value': 4.2, 'fat_value': 18.4, 'proteins_value': 1.9, 'energy-kcal_100g': 194, 'proteins': 1.9, 'energy_value': 194, 'proteins_unit': 'g', 'carbohydrates_100g': 4.2, 'energy_unit': 'kcal', 'salt_100g': 0.8, 'sodium_value': 0.32, 'fat': 18.4, 'proteins_100g': 1.9, 'carbohydrates': 4.2, 'saturated-fat_unit': 'g', 'saturated-fat_value': 2.2, 'nutrition-score-fr_100g': 6, 'fat_100g': 18.4, 'sodium_unit': 'g', 'saturated-fat_100g': 2.2, 'carbohydrates_unit': 'g', 'saturated-fat': 2.2, 'nutrition-score-fr_serving': 6}",,[],Dressings and sauces,20150316.jqm2,[],[]
36,20711177,27.0,en:sauces,Fat and sauces,"52,1 % vin rouge (_sulfites_, eau, beurre (_lait_), 6,5 % échalote, amidons modifiés de mais et de pomme de terre, huile de tournesol, miel, fond de volaille (eau, concentré de volaille, vin rouge, sel, extrait de bœuf, carotte, oignon, poireau, Cognac, ail, thym, romarin), sel, thym, poivre, épaississant : gomme xanthane.",['en:france'],"['vin rouge', '_sulfites_', 'eau', 'beurre', 'échalote', 'amidons modifiés de mais et de pomme de terre', 'huile de tournesol', 'miel', 'fond de volaille', 'sel', 'thym', 'poivre', 'épaississant', '_lait_', 'eau', 'volaille', 'vin rouge', 'sel', 'extrait de bœuf', 'carotte', 'oignon', 'poireau', 'Cognac', 'ail', 'thym', 'romarin', 'gomme xanthane']",,{},Sauce Échalote & Vin Rouge,"Toque du Chef,Lidl",,Sauce Échalote & Vin Rouge,"Epicerie, Sauces","{'sugars_value': 1.7, 'energy': 577, 'energy_100g': 577, 'energy-kcal': 138, 'salt': 1.0999999999999994, 'sodium': 0.44000000000000006, 'sodium_100g': 0.44000000000000006, 'nutrition-score-fr': 12, 'energy-kcal_value': 138, 'carbon-footprint-from-known-ingredients_100g': 74.89, 'nova-group': 4, 'sugars_100g': 1.7, 'salt_unit': 'g', 'nova-group_100g': 4, 'sugars_unit': 'g', 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 1.1, 'sugars': 1.7, 'energy-kcal_unit': 'kcal', 'fat_value': 12.4, 'proteins_value': 0.5, 'carbohydrates_value': 5.8, 'energy-kcal_100g': 138, 'proteins': 0.5, 'energy_value': 138, 'proteins_unit': 'g', 'carbohydrates_100g': 5.8, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 112, 'sodium_value': 0.44000000000000006, 'salt_100g': 1.0999999999999994, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 6.5, 'fat': 12.4, 'proteins_100g': 0.5, 'carbohydrates': 5.8, 'saturated-fat_unit': 'g', 'saturated-fat_value': 7.2, 'nutrition-score-fr_100g': 12, 'fat_100g': 12.4, 'sodium_unit': 'g', 'saturated-fat_100g': 7.2, 'carbohydrates_unit': 'g', 'saturated-fat': 7.2, 'nutrition-score-fr_serving': 12}",,[],Dressings and sauces,20120622,"[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0, 'vegetarian': 'yes', 'vegan': 'yes', 'rank': 10, 'percent_max': 3.5500000000000007}, {'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 1.0142857142857145, 'percent_min': 0, 'id': 'en:salt', 'text': 'sel'}]","[{'from_palm_oil': 'no', 'percent_min': 0, 'rank': 7, 'vegetarian': 'yes', 'percent_max': 5.6800000000000015, 'vegan': 'yes', 'id': 'en:sunflower-oil', 'text': 'huile de tournesol'}]"
37,20711191,29.0,en:mushroom-sauces,Fat and sauces,"Eau, 20 % crème (_lait_), Porto blanc et rouge (_sulfites_), beurre (_lait_), vin blanc, 3 % morille, échalote, amidon modifié de maïs, trompette des Maures, fond de volaille (eau, concentré de volaille, vin rouge, sel, extrait de bœuf, carotte, oignon, poireau, Cognac, ail, thym, romarin), sel, poivre, épaississant : gomme xanthane.",['en:france'],"['Eau', 'crème', 'Porto blanc et rouge', 'beurre', 'vin blanc', 'morille', 'échalote', 'amidon modifié de maïs', 'trompette des Maures', 'fond de volaille', 'sel', 'poivre', 'épaississant', '_lait_', '_sulfites_', '_lait_', 'eau', 'volaille', 'vin rouge', 'sel', 'extrait de bœuf', 'carotte', 'oignon', 'poireau', 'Cognac', 'ail', 'thym', 'romarin', 'gomme xanthane']",,"{'ciqual_food_name:fr': 'Sauce aux champignons, préemballée', 'ciqual_food_name:en': 'Mushroom sauce, prepacked'}",Sauce Morilles,Toque du Chef,,Sauce Morilles,"Epicerie, Sauces, Sauces aux champignons","{'carbon-footprint-from-known-ingredients_product': 135, 'energy_unit': 'kcal', 'sodium_value': 0.44400000000000006, 'salt_100g': 1.11, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fat': 10.1, 'proteins': 1.3, 'energy_value': 114, 'proteins_unit': '', 'carbohydrates_100g': 4.4, 'energy-kcal_100g': 114, 'fat_unit': '', 'nova-group_serving': 4, 'salt_value': 1.11, 'sugars': 1.6, 'energy-kcal_unit': 'kcal', 'carbohydrates_value': 4.4, 'fat_value': 10.1, 'proteins_value': 1.3, 'saturated-fat': 6.5, 'nutrition-score-fr_serving': 11, 'sodium_unit': 'g', 'carbohydrates_unit': '', 'saturated-fat_100g': 6.5, 'saturated-fat_unit': '', 'saturated-fat_value': 6.5, 'nutrition-score-fr_100g': 11, 'fat_100g': 10.1, 'proteins_100g': 1.3, 'carbohydrates': 4.4, 'carbon-footprint-from-known-ingredients_100g': 89.7, 'energy-kcal_value': 114, 'nutrition-score-fr': 11, 'sodium_100g': 0.44400000000000006, 'salt': 1.11, 'sodium': 0.44400000000000006, 'energy': 477, 'sugars_value': 1.6, 'energy_100g': 477, 'energy-kcal': 114, 'sugars_unit': '', 'sugars_100g': 1.6, 'salt_unit': '', 'nova-group_100g': 4, 'nova-group': 4}",,[],Dressings and sauces,20150316.jqm2,"[{'text': 'sel', 'id': 'en:salt', 'rank': 11, 'vegan': 'yes', 'percent_max': '3', 'vegetarian': 'yes', 'percent_min': 0}, {'id': 'en:salt', 'text': 'sel', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 0.75, 'percent_min': 0}]",[]
