,id_ingredient,text,O_EAN13
316,en:fresh-cream,crème fraîche,14
317,en:dehydrated-onion,oignon déshydraté,14
318,en:chicken-liver,foie de poulet,14
319,en:sweet-peppers,piment doux,14
320,fr:couenne-de-porc,couenne de porc,14
321,en:spirit-vinegar,spirit vinegar,14
322,en:e412,e412,14
323,en:sweetener,édulcorant,14
324,fr:contiennent du _céleri_,contiennent du _céleri_,14
325,en:spice-extract,extraits d'épices,14
326,en:wheat-flour,farine de BLÉ,14
327,en:skimmed-milk-powder,_lait_ écrémé en poudre,14
328,en:pineapple,ananas,14
329,en:acidity-regulator,régulateur d'acidité,14
330,en:water,EAU,14
331,en:whey,lactosérum,14
332,en:anchovy-paste,pâte d'anchois,14
333,en:concentrated-lemon-juice,concentré de jus de citron,14
334,en:cooked-beef-meat,bœuf cuit,14
335,en:courgette,courgette,14
336,en:e471,e471,14
337,en:chili-pepper,Piment,14
338,en:palm-fat,graisse de palme,13
339,fr:puree-de-tomate-mi-reduite,purée de tomate mi-réduite,13
340,en:soya,_soja_,13
341,en:chicken-meat,Viande de poulet,13
342,en:carrot-extract,extrait de carotte,13
343,en:antioxidant,antioxydants,13
344,en:pine-nuts,pignon de pin,13
345,en:parsley,Persil,13
346,en:wheat,_blé_,13
347,en:egg,oeuf,13
348,en:coriander-leaves,feuille de coriandre,13
349,en:concentrate,concentré,13
350,en:garlic,Knoblauch,13
351,en:e579,gluconate ferreux,13
352,en:potato,pommes de terre,13
353,en:marjoram,marjolaine,13
354,en:lemon,citron,13
355,fr:puree-et-pulpe-de-tomates,Purée et pulpe de tomates,13
356,en:sea-salt,Sel marin,13
357,en:poultry,volaille,13
358,en:dill,aneth,13
359,en:sunflower-oil,Sonnenblumenöl,13
360,en:crushed-tomato,Purée de tomate,13
361,en:onion-powder,poudre d'oignon,13
362,en:firming-agent,affermissant,13
363,en:salt,Salt,13
364,en:wheat-flour,farine de ble,13
365,en:corn-starch,amidon de mais,13
366,en:e509,chlorure de calcium,12
367,en:poultry-broth,bouillon de volaille,12
368,en:onion,cebolla,12
369,en:chopped-tomatoes,tomates concassées,12
370,en:sunflower,tournesol,12
371,en:water,Water,12
372,en:sesame-seeds,graines de sésame,12
373,en:caraway,carvi,12
374,en:beef-extract,extrait de bœuf,12
375,fr:moutarde-de-dijon,_moutarde_ de Dijon,12
376,en:sugar,zucchero,12
377,en:e401,alginate de sodium,12
378,en:modified-corn-starch,amidon modifié de mais,12
379,en:egg,_œufs_,12
380,en:bell-pepper,Poivrons,12
381,en:wheat-fiber,fibre de _blé_,12
382,en:herb,plante aromatique,12
383,en:sugar,SUCRE,12
384,en:soya-oil,huile de soja,12
385,en:crustacean,crustacés,12
386,en:cider-vinegar,vinaigre de cidre,11
387,en:caramel-syrup,sirop de caramel,11
388,fr:tomates-sechees-rehydratees,tomates séchées réhydratées,11
389,en:alcohol-vinegar,vinaigre d alcool,11
390,fr:salt,salt,11
391,en:e220,anhydride sulfureux,11
392,en:virgin-olive-oil,huile d'olive vierge,11
393,en:sheeps-milk,_lait_ de brebis,11
394,fr:ail-seche,ail déshydraté,11
395,en:white-wine-extract,extrait de vin blanc,11
396,fr:moutarde-de-dijon,moutarde de dijon,11
397,en:pepper,poivres,11
398,en:spice,spices,11
399,en:tamarind,tamarin,11
400,en:milk-proteins,protéine de _lait_,11
401,en:tarragon,estragon,11
402,fr:morceaux-de-foie-gras-de-canard,morceaux de foie gras de canard,11
403,fr:puree-de-tomate-mi-reduite,Purée de tomates mi-concentrée,11
404,en:lactose,LACTOSE,11
405,en:balsamic-vinegar,vinaigre balsamique,11
406,en:cream,CREME,11
407,en:potato-flakes,flocons de pommes de terre,11
408,en:extra-virgin-olive-oil,Huile d'olive vierge extra,11
409,en:lard,saindoux,10
410,en:e500,e500,10
411,en:grilled-aubergines,aubergines grillées,10
412,en:onion,Zwiebeln,10
413,en:wheat-starch,amidon de blé,10
414,en:clove,clous de girofle,10
415,en:non-hydrogenated-vegetable-fats,graisses végétales non hydrogénées,10
416,en:artichoke,artichauts,10
417,en:unrefined-cane-sugar,sucre brut de canne,10
418,en:gluten,_gluten_,10
419,en:vegetable-oil,huile végétale,10
420,en:olives,Olives,10
421,en:egg-yolk,jaune d'œuf,10
422,en:e472c,esters citriques des mono- et diglycérides d'acides gras,10
423,en:whey-powder,lactosérum en poudre,10
424,en:e472e,e472e,10
425,en:lemon-juice-from-concentrate,jus de citron à base de concentré,10
426,en:xanthan-gum-and-guar-gum,gomme xanthane et gomme guar,10
427,en:e224,disulfite de potassium,10
428,en:clove,girofle,10
429,en:parmesan,parmesan,10
430,en:anchovy-paste,pâte d'_anchois_,10
431,en:cheese,fromages,10
432,en:e450,diphosphates,10
433,en:e301,e301,10
434,en:e407,e407,10
435,fr:olives-vertes-denoyautees,olives vertes dénoyautées,10
436,en:egg,_oeuf_,10
437,en:beef,boeuf,10
438,en:onion,cipolla,10
439,fr:pulpe-de-tomates-avec-morceaux-et-puree-de-tomates,Pulpe de tomates avec morceaux et purée de tomates,10
440,en:acid,acidulante,10
441,fr:pulpe-de-tomates-avec-morceaux-et-puree-de-tomates,Pulpe de tomates avec morceaux et concentré de tomates,10
442,en:water,water,9
443,fr:lait-ecreme-reconstitue,_lait_ écrémé reconstitué,9
444,en:e440a,pectines,9
445,en:water,Wasser,9
446,en:e160b,rocou,9
447,en:water,acqua,9
448,en:capers,Câpres,9
449,en:sea-salt,Meersalz,9
450,en:onion-extract,extrait d'oignon,9
451,en:garlic,aglio,9
452,en:palm-oil,huile de palme,9
453,fr:morceaux-de-foie-gras-de-canard-du-sud-ouest,morceaux de foie gras de canard du Sud-Ouest,9
454,fr:graines-de-moutarde-moulues,graines de MOUTARDE moulues,9
455,fr:mayonnaise-allegee-en-matiere-grasse,mayonnaise allégée en matières grasses,9
456,en:e1422,e1422,9
457,en:capers,câpre,9
458,fr:puree-de-tomates-reconstituee,Purée de tomate à base de concentré,9
459,fr:équivaut à 10 % de viande crue,équivaut à 10% de viande crue,9
460,en:yellow-bell-pepper,poivrons jaunes,9
461,en:puree,purée,9
462,en:sauce,Sauce,9
463,en:aubergine,aubergine,9
464,en:corn-flour,farine de maïs,9
465,en:stabiliser,dont stabilisant,9
466,en:beef-fat,graisse de boeuf,9
467,en:e306,extrait riche en tocophérols,9
468,en:natural-hot-pepper-flavouring,arôme naturel de piment,9
469,en:basil,basilico,9
470,en:lactic-ferments,ferments lactiques,9
471,en:e960,glycosides de stéviol,9
472,en:tomato-powder,poudre de tomate,9
473,fr:extrait-de-piment,extrait de piment,9
474,fr:du poids net,du poids net,9
475,en:e330,ácido cítrico,9
476,en:nut,fruits à coque,9
477,en:sheeps-milk,lait de brebis,9
478,en:e296,acide malique,9
479,en:milk,_Milch_,9
480,en:skimmed-milk-powder,poudre de _lait_ écrémé,9
481,en:egg-white,blanc d'_œuf_,9
482,en:extra-virgin-olive-oil,huile d'olive extra-vierge,9
483,en:soft-white-cheese,_fromage_ frais,9
484,en:natural-dill-flavouring,arôme naturel d'aneth,9
485,en:grana-padano,grana padano,9
486,en:sunflower-oil,aceite de girasol,9
487,en:sugar,Sugar,9
488,en:mascarpone,mascarpone,9
489,en:e260,e260,9
490,en:onion,Oignons,8
491,en:rice,riz,8
492,en:concentrated-lemon-juice,concentré de citron,8
493,en:red-onion,oignons rouges,8
494,en:cardamom,cardamome,8
495,fr:poudre,poudre,8
496,en:mustard-seed,graine de moutarde,8
497,fr:ail-frais,ail frais,8
498,fr:extrait-naturel-de-poivre,extrait naturel de poivre,8
499,en:concentrated-tomato-puree,purée de tomate concentrée,8
500,en:coconut,noix de coco,8
501,en:ravioli,ravioli,8
502,en:garlic,AIL,8
503,en:modified-rice-starch,amidon transformé de riz,8
504,en:cep,bolets,8
505,en:potato-starch,fécule de pommes de terre,8
506,en:sulfite,SULFITES,8
507,en:crushed-tomato,Concentré de tomate,8
508,en:fresh-cream,CREME fraîche,8
509,en:e415,gommes de xanthane,8
510,en:sunflower-oil,huiles végétales de tournesol,8
511,en:pre-fried-onions,oignon préfrit,8
512,en:puree,Purée,8
513,en:egg,œufs,8
514,en:corn,maïs,8
515,en:e120,e120,8
516,en:fructose,Fructose,8
517,en:beef,bœuf,8
518,en:egg,_œuf_,8
519,en:chili-pepper,PIMENT,8
520,it:carne suina,carne suina,8
521,en:e401,e401,8
522,en:filling,FARCE,8
523,en:yeast-powder,poudres à lever,8
524,en:agave-syrup,sirop d'agave,8
525,en:unrefined-cane-sugar,sucre de canne non raffiné,8
526,en:unrefined-sea-salt,sel de mer non raffiné,8
527,en:skimmed-milk-powder,lait écrémé en poudre,8
528,en:e500,carbonates de sodium,8
529,en:duck,Canard,8
530,en:grana-padano-pdo-cheese,fromage Grana Padano AOP,8
531,fr:foie-gras-de-canard,foie gras de canard,8
532,en:salt,Speisesalz,8
533,en:onion-powder,oignons en poudre,8
534,en:parsley,Petersilie,8
535,en:cane-sugar,Sucre de canne,8
536,en:nut,_fruits à coque_,8
537,en:salmon,saumon,8
538,fr:oignons-en-morceaux,oignons en morceaux,8
539,en:oil,Huiles,8
540,en:salad,salade,8
541,en:dehydrated-glucose-syrup,sirop de glucose déshydraté,8
542,en:e621,glutamate de sodium,8
543,en:herb,fines herbes,8
544,fr:avec des extraits d'oignons et d'ail frits,avec des extraits d'oignons et d'ail frits,8
545,en:grilled-courgette,courgettes grillées,8
546,en:brown-sugar,cassonade,8
547,en:glucose,glucose,7
548,en:extra-virgin-olive-oil,natives Olivenöl extra,7
549,fr:plantes-aromatiques-deshydratees,plantes aromatiques déshydratées,7
550,en:e160c,e160c,7
551,en:gluten,gluten,7
552,en:leek,poireaux,7
553,fr:moutarde-de-dijon,_moutarde_ de dijon,7
554,en:flavour-enhancer,exhausteurs de goût,7
555,en:coconut-oil,coprah,7
556,en:e270,acido lattico,7
557,en:e385,calcium disodium EDTA,7
558,en:corn-starch,Amidon de maïs,7
559,en:maltodextrins,maltodextrines,7
560,en:light-cream,_crème_ fraîche légère,7
561,en:fresh-onions,oignons frais,7
562,en:hard-cheese,fromage à pâte dure,7
563,en:gluten,dont _gluten_,7
564,en:citrus-fibre,fibres d'agrumes,7
565,en:fat,graisse,7
566,en:e955,sucralose,7
567,en:garlic,garlic,7
568,en:milk-powder,_lait_ en poudre,7
569,en:natural-flavouring,Arômes naturels,7
570,en:natural-flavouring,aromi naturali,7
571,fr:tomates-sechees-rehydratees,Tomates séchées réhydratées,7
572,en:parmesan,Parmigiano Reggiano,7
573,en:duck-meat,viande de canard,7
574,en:pecorino,fromage pecorino,7
575,en:extra-virgin-olive-oil,huile extra vierge d'olive,7
576,en:e306,vitamine E,7
577,en:pecorino-romano,Pecorino Romano AOP,7
578,en:dehydrated-onion,oignon séché,7
579,en:mushroom,champignon,7
580,en:mozzarella,mozzarella,7
581,en:espelette-chili-pepper,piment d'Espelette,7
582,en:pecorino-romano,fromage Pecorino Romano AOP,7
583,en:chicken-fat,graisse de poulet,7
584,en:colza-oil,huiles végétales de colza,7
585,en:modified-tapioca-starch,amidon transformé de manioc,7
586,en:dehydrated-onion,oignons déshydratés,7
587,en:e412,de guar,7
588,en:chervil,cerfeuil,7
589,en:cherry-tomato,Tomates cerises,7
590,en:cooked-chickpeas,Pois chiches cuits,7
591,en:hydrolysed-vegetable-protein,protéines végétales hydrolysées,7
592,en:mint,menthe,7
593,en:fromage-blanc,fromage blanc,7
594,en:juice,jus,7
595,en:garlic,ajo,7
596,en:milk-proteins,protéine de LAIT,7
597,en:cheese,_fromages_,7
598,en:coconut-milk,lait de coco,7
599,en:chicken,poulet,7
600,en:antioxidant,antioxygène,7
601,en:cayenne-pepper,poivre de Cayenne,7
602,en:wheat-flour,Farine de BLE,7
603,en:wheat-fiber,fibre de blé,7
604,fr:gorge-de-porc,Gorge de porc,7
605,en:water,agua,7
606,en:vinegar,vinegar,7
607,en:vegetable-oil,huiles végétales,7
608,en:veal-meat,viande de veau,7
609,en:tomato-pulp,polpa di pomodoro,7
610,en:tomato,Tomatoes,7
611,en:tomato,Tomaten,7
612,en:red-beetroot,betterave rouge,7
613,en:red-bell-pepper,Poivrons rouges,7
614,en:aniseed,anis,7
615,en:artichoke,Artichauts,7
616,en:aubergine,Aubergines,7
617,en:avocado,avocat,7
618,en:spice,Aromates,7
619,en:soya-bean,graines de soja,7
620,en:ricotta,fromage ricotta,7
621,en:shrimp,crevettes,7
622,en:brandy,brandy,7
623,en:whey,_lactosérum_,7
624,en:sauce,SAUCE,7
625,en:pulp,Pulpe,7
626,en:celery,CELERI,7
627,en:celery,CÉLERI,7
628,fr:Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches,Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches,7
629,fr:du poids net total,du poids net total,7
630,fr:foie-de-porc,Foie de porc,7
631,fr:fibres de canne à sucre,fibres de canne à sucre,7
632,en:coriander-seeds,graines de coriandre,6
633,en:beef-extract,extrait de boeuf,6
634,en:e508,chlorure de potassium,6
635,en:spice,Gewürze,6
636,en:modified-corn-starch,almidón modificado de maíz,6
637,en:spice,especias,6
638,en:milk,latte,6
639,en:basil,Basilikum,6
640,en:e451,e451,6
641,en:spinach,épinards,6
642,en:meat,viandes,6
643,en:star-anise,anis étoilé,6
644,en:mascarpone,_mascarpone_,6
645,en:sucrose,saccharose,6
646,en:modified-tapioca-starch,amidon transformé de tapioca,6
647,en:mustard-seed,graine de _moutarde_,6
648,en:morels,morilles,6
649,en:soy-sauce,sauce _soja_,6
650,en:brine,saumure,6
651,en:sesame,_sésame_,6
652,en:coconut-extract,extrait de noix de coco,6
653,en:olives,olive,6
654,en:coconut-milk,lait de noix de coco,6
655,ru:глюкозно-фруктозный-сироп,sirop de glucose-fructose de blé,6
656,en:sesame-seeds,graines de _sésame_,6
657,en:cod,cabillaud,6
658,en:e450,e450,6
659,en:natural-thyme-flavouring,arôme naturel de thym,6
660,en:natural-tarragon-flavouring,arôme naturel d'estragon,6
661,en:black-olive,olive noire,6
662,en:skimmed-milk-powder,poudre de lait écrémé,6
663,en:smoked-salmon,saumon fumé,6
664,en:bamboo-shoot,pousses de bambou,6
665,en:mango,mangue,6
666,en:baker-s-yeast,levure boulangère,6
667,en:madeira,Madère,6
668,en:balsamic-vinegar-of-modena,vinaigre balsamique de Modène,6
669,en:egg-white,blanc d'oeuf,6
670,en:emmental,_emmental_,6
671,en:ham,jambon de porc,6
672,en:e223,disulfite de sodium,6
673,en:grape-must,moût de raisin,6
674,en:double-concentrated-tomato,Purée de tomates double concentrée,6
675,en:tree-nuts,noix,6
676,en:dough,PÂTE,6
677,en:unrefined-cane-sugar,Rohrohrzucker,6
678,en:e200,acide sorbique,6
679,en:durum-wheat-semolina,semoule de BLE dur,6
680,en:fennel-seed,graines de fenouil,6
681,en:galangal,galanga,6
682,en:whole-milk-powder,_lait_ entier en poudre,6
683,en:e160,caroténoides,6
684,fr:coulis-de-tomates,Coulis de tomate,6
685,en:egg,œuf,6
686,en:herbs-and-spices,herbes et épices,6
687,en:crushed-peeled-tomato,tomate pelée concassée,6
688,en:cream,CRÈME,6
689,en:e330,acido citrico,6
690,en:lemon-peel,zeste de citron,6
691,fr:Porto blanc,Porto blanc,6
692,en:atlantic-salmon,saumon Atlantique,6
693,en:atlantic-salmon,_saumon_ atlantique,6
694,fr:Olives vertes Manzanilla,Olives vertes Manzanilla,6
695,en:curry,dont curry,6
696,en:iodised-salt,sel iodé,6
697,en:invert-sugar-syrup,sirop de sucre inverti,6
698,en:ingredient,Ingrédients,6
699,en:ingredient,Ingrédient,6
700,en:salt,sel de cuisine,6
701,en:cucumber,concombre,6
702,en:armagnac,armagnac,6
703,af:marjolein,marjolaine,6
704,en:ricotta,ricotta,6
705,en:e415,de xanthane,6
706,en:celery,contain celery,6
707,en:carrot,Carottes,6
708,en:parsnip,panais,6
709,en:red-chili-pepper,piments rouges,6
