,LIBELLE_PRODUIT_NIELSEN,LIBELLE_PRODUIT_OPTIMISE,MARQUE,INGREDIENTS_PRINCIPAUX,GRAMMAGE,BIO_NON_BIO,CODE_EAN,VOL_CAM_AN-1,VOL_DERNIER_CAM,EVOL,EVOL_PERC,GRAMMAGE_FILLED
10,SAUCES POUR FECULENTS POT BARILLA PESTO PF PESTO VERD 1CT 190G * NON BIO,BARILLA PESTO GENOVESE 190G,BARILLA,"HUILE DE TOURNESOL, BASILIC, PARMIGIANO REGGIANO",190.0,NON BIO,8076809513753,581148.8,644792.7999999999,63643.999999999876,0.10951412099620593,190.0
11,SAUCES POUR FECULENTS POT BARILLA PESTO PF PESTO RGE 1CT 200G * NON BIO,BARILLA PESTO ROSSO 200G,BARILLA,"TOMATES, HUILE DE TOURNESOL, GRANA PADANO AOP",200.0,NON BIO,8076809523547,581635.2999999999,642768.2,61132.90000000003,0.105105209398398,200.0
12,POUR FECULENTS POT PANZANI SA PANZANI PESTO PF PESTO VERD 1CT 200G * NON BIO,PANZANI PESTO BASILIC EXTRA FRAIS 200G,PANZANI,"BASILIC FRAIS, HUILE DE TOURNESOL",200.0,NON BIO,3038354199603,523539.6,562966.8,39427.20000000007,0.07530891646018767,200.0
13,FECULENTS POT PANZANI SA PANZANI BOLO CLASSIQUE PF BOLOGNAISE 1CT 210G * NON BIO,PANZANI BOLOGNAISE CLASSIQUE 210G,PANZANI,"TOMATES, BŒUF, PORC",210.0,NON BIO,3038359004582,588446.1,559380.2999999999,-29065.80000000005,-0.04939415861537709,210.0
14,POUR FECULENTS POT PANZANI SA PANZANI BOLO BALLS MF NATURE 1CT 400G * NON BIO,PANZANI BOLO BALLS 400G,PANZANI,"TOMATES, BŒUF",400.0,NON BIO,3038354180809,462919.0,555835.2000000001,92916.20000000008,0.20071805218623576,400.0
15,POUR FECULENTS POT BARILLA BOLO CLASSIQUE MF BOLOGNAISE 1CT 400G * NON BIO,BARILLA BOLOGNESE 400G,BARILLA,"TOMATES, BŒUF, PORC",400.0,NON BIO,8076809513678,469598.1,537515.4,67917.29999999999,0.14462856642733432,400.0
16,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES PF PROVENCALE 1CT 210G * NON BIO,PANZANI PROVENCALE 210G,PANZANI,"TOMATES, CAROTTES, OIGNONS",210.0,NON BIO,3038354190204,510655.5,532423.2999999999,21767.799999999992,0.04262717233046543,210.0
17,POT PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE PUR BOEUF 1CT 400G * NON BIO,PANZANI BOLOGNAISE 100% PUR BŒUF 400G,PANZANI,"TOMATES, BŒUF FRANCAIS CAROTTES, OIGNONS",400.0,NON BIO,3038359007620,27932.4,505343.00000000023,477410.6000000002,17.091642680185025,400.0
18,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF ARRABIATA 1CT 400G * NON BIO,BARILLA ARRABBIATA 400G,BARILLA,"TOMATES, PIMENT",400.0,NON BIO,8076809513388,456401.8,501411.00000000006,45009.20000000007,0.09861749011506983,400.0
19,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF PROVENCALE 1CT 400G * NON BIO,BARILLA PROVENCALE 400G,BARILLA,"TOMATES, OIGNONS",400.0,NON BIO,8076809543934,404875.4,446748.6,41873.20000000001,0.10342243564316334,400.0
20,FECULENTS POT PANZANI SA PANZANI LEGUMES PF TOMATES BASILIC 1CT 210G * NON BIO,PANZANI TOMATES FRAICHES ET BASILIC 210G,PANZANI,"BASILIC, TOMATES",210.0,NON BIO,3038354190402,376862.6,421337.5999999999,44474.99999999994,0.11801383315829148,210.0
21,POUR FECULENTS POT PANZANI SA PANZANI CREME MF CARBONARA 1CT 370G * NON BIO,PANZANI CARBONARA 370G,PANZANI,"LARDONS FUMES, CREME, JAUNE D'ŒUF ",370.0,NON BIO,3038352874908,382960.1,416410.0,33449.899999999914,0.0873456529805583,370.0
22,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF OLIV BASIL 1CT 400G * NON BIO,PANZANI OLIVES ET BASILIC AUX TOMATES FRAICHES 400G,PANZANI,"TOMATES, OLIVES, BASILIC",400.0,NON BIO,3038354221106,445827.8,392462.70000000007,-53365.09999999992,-0.11969890616960165,400.0
23,FECULENTS POT PANZANI SA PANZANI LEGUMES MF TOMATES BASILIC 1CT 400G * NON BIO,PANZANI TOMATES FRAICHES ET BASILIC 400G,PANZANI,"BASILIC, TOMATES",400.0,NON BIO,3038359000799,372658.3,367435.29999999993,-5223.000000000058,-0.014015520384223452,400.0
24,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF OLIVE 1CT 400G * NON BIO,BARILLA TOMATES AUX OLIVES 400G,BARILLA,"TOMATES, OLIVES VERTES, OLIVES NOIRES",400.0,NON BIO,8076809513715,337780.9,363194.5,25413.600000000035,0.0752369361322681,400.0
25,FECULENTS POT PANZANI SA PANZANI BOLO ORIGINALE MF BOLOG EPIC 1CT 400G * NON BIO,PANZANI BOLOGNAISE AUX EPICES 400G,PANZANI,"TOMATES, BŒUF, PORC",400.0,NON BIO,3038354191607,320837.4,359940.0,39102.60000000004,0.12187668893963124,400.0
26,POUR FECULENTS POT PANZANI SA PANZANI CREME MF 4FROMAGES 1CT 370G * NON BIO,PANZANI 4 FROMAGES 370G,PANZANI,"FROMAGES, ŒUF, CREME",370.0,NON BIO,3038352874809,315360.3,342747.8,27387.5,0.08684511018032391,370.0
27,POUR FECULENTS POT PANZANI SA PANZANI BIO MF BOLOGNAISE BIO 1CT 390G * BIO,PANZANI BOLOGNAISE PUR BŒUF BIO 390G,PANZANI,"TOMATES, BŒUF, OIGNONS, CAROTTES",390.0,BIO,3038359007101,164447.29999999993,340793.7,176346.40000000005,1.0723581354026492,390.0
28,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF TOMATE CUI 1CT 400G * NON BIO,BARILLA TOMATES CUISINEES 400G,BARILLA,"TOMATES, OIGNONS, CAROTTES",400.0,NON BIO,8076809570596,288778.1,338979.5,50201.400000000016,0.1738407448487265,400.0
29,POT PANZANI SA PANZANI BOLO ORIGINALE MF BOLOG CHAMP 1CT 400G * NON BIO,PANZANI BOLOGNAISE CHAMPIGNONS 400G,PANZANI,"TOMATES, BŒUF, PORC, CHAMPIGNONS",400.0,NON BIO,3038354222004,300421.0000000001,329709.2,29288.199999999957,0.0974905216346392,400.0
30,POT BARILLA BOLO CLASSIQUE MF BOLOGNAISE EXTRA RICHE 1CT 400G * NON BIO,BARILLA BOLOGNESE RICHE 400G,BARILLA,"TOMATES, PORC, OIGNONS, BŒUF",400.0,NON BIO,8076809572255,293051.0,320977.9,27926.899999999965,0.0952970643335118,400.0
31,SAUCES POUR FECULENTS POT BARILLA LEGUMES PF BASILIC 1CT 200G * NON BIO,BARILLA TOMATE BASILIC 200G,BARILLA,"TOMATES, BASILIC",200.0,NON BIO,8076809535755,258744.6,257166.70000000004,-1577.899999999936,-0.006098291519900071,200.0
32,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF PROVENCALE 2CT 400G * NON BIO,BARILLA PROVENCALE LOT 2X400G,BARILLA,"TOMATES, OIGNONS",800.0,NON BIO,8076809544825,222070.8,253792.3,31721.49999999997,0.1428440839588094,800.0
33,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF NAPOLITAIN 1CT 400G * NON BIO,BARILLA NAPOLITAINE 400G,BARILLA,"TOMATES, OIGNONS, CAROTTES",400.0,NON BIO,8076809513692,215076.2,238933.5,23857.299999999992,0.11092487220808248,400.0
34,SAUCES POUR FECULENTS POT BARILLA PESTO PF BASILIC & ROQUETTE 1CT 190G * NON BIO,BARILLA PESTO BASILIC ROQUETTE 190G,BARILLA,"HUILE DE TOURNESOL, BASILIC, PERSIL",190.0,NON BIO,8076809545396,184530.0,237459.5,52929.5,0.2868341191134233,190.0
35,POT PANZANI SA PANZANI BOLO ORIGINALE MF BOLOG POULET 1CT 400G * NON BIO,PANZANI BOLOGNAISE AU POULET 400G,PANZANI,"TOMATES, POULET, OIGNONS, CAROTTES, POIVRONS ROUGES",400.0,NON BIO,3038354190709,183795.4,227843.9,44048.49999999997,0.23966051381046516,400.0
36,POT AUT FAB MQ FAB 1 PRX BOLO CLASSIQUE MF BOLOGNAISE 1CT 420G * NON BIO,FLORENTI BOLOGNAISE 420G,FLORENTI,"TOMATES, OIGNONS, CAROTTES",420.0,NON BIO,3069538102102,211666.4,217079.9,5413.500000000029,0.025575622772438283,420.0
37,SAUCES POUR FECULENTS POT SACLA LEGUMES PF ARRABIATA 1CT 190G * NON BIO,SACLA ARRABBIATA 190G,SACLA,"TOMATES, PIMENT EN POUDRE",190.0,NON BIO,8001060001329,200973.2,216234.00000000003,15260.800000000048,0.07593450270981428,190.0
38,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF ARRABIATA 2CT 400G PRIX NON BIO,BARILLA ARRABBIATA LOT 2X400G,BARILLA,"TOMATES, PIMENT",800.0,NON BIO,8076809536851,148583.59999999998,183651.1,35067.50000000003,0.2360119151777184,800.0
39,PANZANI SA PANZANI QUALITE FRAICHEMENT CUISINEE MF TOMATE CUI 1CT 320G * NON BIO,PANZANI TOMATES CUISINEES 320G,PANZANI,"TOMATES, OIGNONS",320.0,NON BIO,3038359005749,209100.0,180567.5,-28532.5,-0.13645384983261594,320.0
40,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF TOMATE CUI 2CT 400G * NON BIO,BARILLA TOMATES CUISINEES LOT 2X400G,BARILLA,"TOMATES, OIGNONS, CAROTTES",800.0,NON BIO,8076809574532,10437.0,176684.8,166247.8,15.928695985436427,800.0
41,PANZANI SA PANZANI QUALITE FRAICHEMENT CUISINEE MF BASILIC 1CT 320G * NON BIO,PANZANI BASILIC 320G,PANZANI,"TOMATES, BASILIC",320.0,NON BIO,3038359005756,185937.4,165384.1,-20553.300000000017,-0.11053881575196822,320.0
42,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 2CT 425G * NON BIO,PANZANI PROVENCALE 425G,PANZANI,"TOMATES, CAROTTES, OIGNONS",425.0,NON BIO,3038359005282,203194.6,159347.6,-43847.0,-0.2157882148442921,425.0
43,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF TOMATE CUI 2CT 425G * NON BIO,PANZANI TOMATES CUISINEES 2x425G,PANZANI,"TOMATES, OIGNONS, CAROTTES",850.0,NON BIO,3038359005299,209004.9,158713.8,-50291.10000000001,-0.24062163135888204,850.0
44,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO PF BASILIC 1CT 200G * BIO,JARDIN BIO TOMATES BASILIC 200G,JARDIN BIO,"TOMATES, OIGNONS, BASILIC",200.0,BIO,3478820023641,186886.9,155510.6,-31376.300000000014,-0.16788924210311162,200.0
45,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES PF TOMATE CUI 1CT 210G * NON BIO,PANZANI TOMATES CUISINEES 210G,PANZANI,"TOMATES, OIGNONS, CAROTTES",210.0,NON BIO,3038354191904,190544.9,155311.7,-35233.19999999998,-0.18490759920627625,210.0
46,SAUCES POUR FECULENTS POT BARILLA LEGUMES PF RICOTTA 1CT 200G * NON BIO,BARILLA RICOTTA 200G,BARILLA,"TOMATES, RICOTTA",200.0,NON BIO,8076809530668,156772.5,148674.0,-8098.5,-0.05165765679567527,200.0
47,POT PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE PUR BOEUF 2CT 400G * NON BIO,PANZANI BOLOGNAISE PUR BŒUF LOT 2X400G,PANZANI,"TOMATES, BŒUF FRANCAIS CAROTTES, OIGNONS",800.0,NON BIO,3038359007736,0.0,145711.1,145711.1,,800.0
48,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES PF BOLET CEPE 1CT 210G * NON BIO,PANZANI CHAMPIGNONS 210G,PANZANI,"TOMATES, OIGNONS, CAROTTES, CHAMPIGNONS",210.0,NON BIO,3038354190303,132656.19999999998,145208.6,12552.400000000025,0.0946235456767194,210.0
49,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO PF PROVENCALE 1CT 200G * BIO,JARDIN BIO PROVENCALE AUX FINES HERBES 200G,JARDIN BIO,"TOMATES, OIGNONS, PLANTES AROMATIQUES",200.0,BIO,3307130605004,180473.2,135361.0,-45112.20000000001,-0.24996619996764066,200.0
50,PANZANI SA PANZANI BOLO CLASSIQUE PF BOLOGNAISE EXTRA RICHE 1CT 200G * NON BIO,PANZANI BOLOGNAISE EXTRA RICHE 200G,PANZANI,"TOMATES, BŒUF, PORC",200.0,NON BIO,3038359005848,149734.7,130784.4,-18950.300000000017,-0.12655917432632527,200.0
51,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF BOLET CEPE 1CT 425G * NON BIO,PANZANI CHAMPIGNONS 425G,PANZANI,"TOMATES, BŒUF FRANCAIS CAROTTES, OIGNONS",425.0,NON BIO,3038354191003,185855.1,123342.1,-62513.00000000002,-0.3363534280200006,425.0
52,POUR FECULENTS POT BARILLA BOLO CLASSIQUE PF BOLOGNAISE 1CT 200G * NON BIO,BARILLA BOLOGNAISE 200G,BARILLA,"TOMATES, BŒUF, PORC",200.0,NON BIO,8076809535878,112138.2,122094.3,9956.099999999991,0.08878419664307069,200.0
53,SAUCES POUR FECULENTS POT SACLA LEGUMES PF CAVIAR TOM 1CT 190G * NON BIO,SACLA CAVIAR DE TOMATE A L'AIL 190G,SACLA,"TOMATES, TOMATES SECHEES, AIL",190.0,NON BIO,8001060000933,127393.60000000002,120457.10000000002,-6936.5,-0.05444936009344268,190.0
54,POT PANZANI SA PANZANI BOLO CLASSIQUE PF BOLOGNAISE PUR BOEUF 1CT 200G * NON BIO,PANZANI BOLOGNAISE PUR BŒUF 200G,PANZANI,"TOMATES, BŒUF FRANCAIS CAROTTES, OIGNONS",200.0,NON BIO,3038359007613,8788.0,118830.0,110042.0,12.521847974510695,200.0
55,SAUCES POUR FECULENTS POT PANZANI SA PANZANI BIO MF PROVENCALE 1CT 400G * BIO,PANZANI PROVENCALE BIO 400G,PANZANI,"TOMATES, OIGNONS, CAROTTES",400.0,BIO,3038359006609,90313.8,112574.5,22260.7,0.2464817115435293,400.0
56,POT BARILLA BOLO CLASSIQUE MF BOLOGNESE FROMAGE ITALIEN 1CT 400G * NON BIO,BARILLA BOLOGNAISE FROMAGES ITALIENS 400G,BARILLA,"TOMATES, PORC, BŒUF, RICOTTA",400.0,NON BIO,8076809546362,101602.7,106354.4,4751.699999999997,0.04676745795141268,400.0
57,POUR FECULENTS POT AUT FAB MQ FAB 1 PRX LEGUMES MF NAPOLITAIN 1CT 420G * NON BIO,FLORENTI NAPOLITAINE 420G,FLORENTI,"TOMATES, OIGNONS, CAROTTES",420.0,NON BIO,3069533182505,113710.6,104403.7,-9306.899999999994,-0.08184725082797906,420.0
58,FECULENTS POT PANZANI SA PANZANI A CUISINER MF RISOTTO CHAMP 1CT 370G * NON BIO,PANZANI RISOTTO CHAMPIGNONS 370G,PANZANI,"CREME, CHAMPIGNONS DE PARIS",370.0,NON BIO,3038354281001,117046.9,103530.0,-13516.900000000025,-0.11548276801863205,370.0
59,PANZANI SA PANZANI QUALITE FRAICHEMENT CUISINEE MF PROVENCALE 1CT 320G * NON BIO,PANZANI PROVENCALE 320G,PANZANI,"TOMATES, HUILE DE TOURNESOL",320.0,NON BIO,3038359005732,124085.3,98712.2,-25373.09999999999,-0.20448111097769028,320.0
60,SAUCES POUR FECULENTS POT BARILLA BIO PF BASILIC 1CT 200G * BIO,BARILLA BASILIC BIO 200G,BARILLA,"TOMATES, OIGNONS, BASILIC",200.0,BIO,8076809574150,47962.49999999999,94962.7,47000.2,0.9799364086525936,200.0
61,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 3CT 425G PK1 NON BIO,PANZANI PROVENCALE 425G,PANZANI,"TOMATES, CAROTTES, OIGNONS",1275.0,NON BIO,3038359007026,178696.40000000005,92975.7,-85720.70000000001,-0.4797002066074079,1275.0
62,SAUCES POUR FECULENTS POT SACLA LEGUMES PF POIV AUBER 1CT 190G * NON BIO,SACLA TRIO DE POIVONS AUBERGINES 190G,SACLA,"POIVRONS, TOMATES, AUBERGINES",190.0,NON BIO,8001060001275,97017.6,92591.1,-4426.5000000000155,-0.045625742133386264,190.0
63,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF TOMATE CUI 3CT 425G PK1 NON BIO,PANZANI TOMATES CUISINEES LOT 3X425G,PANZANI,"TOMATES, OIGNONS, CAROTTES",1275.0,NON BIO,3038359007033,185346.6,91799.4,-93547.19999999997,-0.5047149502607546,1275.0
64,PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE EXTRA RICHE 2CT 400G * NON BIO,PANZANI BOLOGNAISE EXTRA RICHE LOT 2X400G,PANZANI,"TOMATES, BŒUF, PORC",800.0,NON BIO,3038359006296,108024.8,90201.6,-17823.200000000008,-0.16499174263687608,800.0
65,SAUCES POUR FECULENTS POT BARILLA BIO PF PESTO VERD 1CT 185G * BIO,BARILLA PESTO GENOVESE BIO 185G,BARILLA,"HUILE DE TOURNESOL, BASILIC, PARMIGIANO REGGIANO",185.0,BIO,8076809574143,46765.5,89980.8,43215.3,0.9240850627064824,185.0
66,FAB MQ FAB 1 PRX LEGUMES MF TOMATE CUISINEE AUX PETITS LEG 1CT 420G * NON BIO,FLORENTI SAUCE TOMATE CUISINEE AUX PETITS LEGUMES 420G,FLORENTI,"TOMATES, OIGNONS, CAROTTES, CELERI",420.0,NON BIO,3069538102874,76017.8,85290.40000000001,9272.600000000006,0.12197932589472472,420.0
67,SAUCES POUR FECULENTS POT SACLA LEGUMES PF TOM OLIVE 1CT 190G * NON BIO,SACLA OLIVES TOMATES 190G,SACLA,"OLIVES NOIRES, OLIVES VERTES, TOMATES",190.0,NON BIO,8001060000926,87138.0,83789.9,-3348.1000000000063,-0.03842296127980911,190.0
68,SAUCES POUR FECULENTS POT SACLA LEGUMES MF TOM CE BAS 1CT 345G * NON BIO,SACLA TOMATES CERISES ENTIERES ET BASILIC 345G,SACLA,"TOMATES, TOMATES CERISES, BASILIC",345.0,NON BIO,8001060006638,87509.5,81812.70000000001,-5696.799999999987,-0.06509921779921024,345.0
69,POUR FECULENTS POT PANZANI SA PANZANI PESTO PF PESTO RGE 1CT 200G * NON BIO,PANZANI PESTO TOMATES ET BASILIC CISELES 200G,PANZANI,"TOMATES, HUILE DE TOURNESOL, FROMAGES",200.0,NON BIO,3038359005572,57883.40000000001,79520.19999999997,21636.799999999974,0.37379974224043455,200.0
70,SA PANZANI BOLO VEGETARIENNE MF VEGETARIENNE FACON BOLOGNAISE 1CT 400G * NON BIO,PANZANI BOLOGNAISE VEGGIE 400G,PANZANI,"TOMATES, OIGNONS, PROTEINES VEGETALES DE SOJA",400.0,NON BIO,3038359006289,65554.79999999999,78558.0,13003.200000000012,0.19835618444415992,400.0
71,POUR FECULENTS POT AUT FAB ZAKIA BOLO CLASSIQUE MF BOLOGNAISE 1CT 400G * NON BIO,ZAKIA HALAL BOLOGNAISE AU BŒUF 400G,ZAKIA,"TOMATES, BŒUF HALAL, OIGNONS, CAROTTES",400.0,NON BIO,3223921800062,75755.4,78291.2,2535.800000000003,0.03347352135953348,400.0
72,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES PF OLIV BASIL 1CT 210G * NON BIO,PANZANI OLIVES ET BASILIC 210G,PANZANI,"TOMATES, OLIVES",210.0,NON BIO,3038359001581,60237.5,78109.79999999999,17872.299999999992,0.29669724009130505,210.0
73,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF PROVENCALE 3CT 400G PK1 NON BIO,BARILLA PROVENCALE LOT 3X400G,BARILLA,"TOMATES, OIGNONS",1200.0,NON BIO,8076809573306,68138.90000000001,76597.8,8458.899999999994,0.12414200992384665,1200.0
74,POUR FECULENTS POT BARILLA LEGUMES MF AIL & FINE HERBES 1CT 400G * NON BIO,BARILLA TOMATE A L'AIL 400G,BARILLA,"TOMATES, AIL REHYDRATE, VIN ROUGE",400.0,NON BIO,8076809572996,115783.4,76586.30000000003,-39197.099999999984,-0.3385381669565757,400.0
75,SAUCES POUR FECULENTS POT BARILLA PESTO PF PESTO VERD 2CT 190G PRIX NON BIO,BARILLA PESTO GENOVESE LOT 2X190G,BARILLA,"HUILE DE TOURNESOL, BASILIC, PARMIGIANO REGGIANO",380.0,NON BIO,8076809537995,60066.2,75572.09999999999,15505.899999999996,0.2581468446480715,380.0
76,SAUCES POUR FECULENTS POT PANZANI SA PANZANI BIO MF TOMATE CUI 1CT 400G * BIO,PANZANI TOMATES CUISINEES BIO 400G,PANZANI,"TOMATES, OIGNONS, CAROTTES",400.0,BIO,3038359006616,58196.8,73786.09999999999,15589.299999999996,0.2678721166799549,400.0
77,SAUCES POUR FECULENTS POT SACLA PESTO PF PESTO VERD 1CT 190G * NON BIO,SACLA PESTO GENOVESE 190G,SACLA,"BASILIC, GRANA PADANO AOP, PECORINO ROMANO AOP",190.0,NON BIO,8001060375109,81883.9,72487.7,-9396.199999999997,-0.1147502744739808,190.0
78,SAUCES POUR FECULENTS POT BARILLA PESTO PF PESTO RGE 2CT 200G * NON BIO,BARILLA PESTO ROSSO LOT 2X200G,BARILLA,"TOMATES, HUILE DE TOURNESOL, GRANA PADANO AOP",400.0,NON BIO,8076809538008,58220.5,70139.40000000001,11918.900000000007,0.2047199869461789,400.0
79,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO PF NAPOLITAIN 1CT 200G * BIO,JARDIN BIO TOMATE SPAGHETTI 200G,JARDIN BIO,"TOMATES, OIGNONS, CAROTTES",200.0,BIO,3478820030823,61153.1,67354.7,6201.5999999999985,0.10141104866310946,200.0
80,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF BASILIC 3CT 400G PK1 NON BIO,BARILLA BASILIC 210G,BARILLA,"TOMATES, OIGNONS, BASILIC",210.0,NON BIO,8076809573313,51212.4,66936.7,15724.299999999996,0.3070408729135912,210.0
81,FECULENTS POT PANZANI SA PANZANI BOLO CLASSIQUE PF BOLOGNAISE 2CT 210G * NON BIO,PANZANI BOLOGNAISE LOT 2X210G,PANZANI,"TOMATES, BŒUF, PORC",420.0,NON BIO,3038359006562,95316.4,62426.4,-32889.999999999985,-0.34506129060686297,420.0
82,SAUCES POUR FECULENTS POT BARILLA LEGUMES PF TOM CE NAP 1CT 200G * NON BIO,BARILLA NAPOLITAINE 200G,BARILLA,"TOMATES, OIGNONS, CAROTTES",200.0,NON BIO,8076809535762,69189.7,60004.8,-9184.9,-0.13274952774762722,200.0
83,POT PANZANI SA PANZANI BOLO ORIGINALE MF BOLOG CHAMP 2CT 400G * NON BIO,PANZANI BOLOGNAISE CHAMPIGNONS LOT 2X400G,PANZANI,"TOMATES, BŒUF, PORC, CHAMPIGNONS",800.0,NON BIO,3038359004049,90701.0,57363.4,-33337.60000000001,-0.36755493324219146,800.0
84,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO GF BASILIC 1CT 510G * BIO,JARDIN BIO TOMATES BASILIC 510G,JARDIN BIO,"TOMATES, OIGNONS, BASILIC",510.0,BIO,3456300009071,13418.4,56599.2,43180.8,3.2180289751386155,510.0
85,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO MF BOLOGNAISE 1CT 350G * BIO,JARDIN BIO BOLOGNAISE 350G,JARDIN BIO,"TOMATES, BŒUF",350.0,BIO,3760020509347,52215.900000000016,56468.3,4252.399999999987,0.08143879546268447,350.0
86,SAUCES POUR FECULENTS POT SACLA LEGUMES MF ARRABIATA 1CT 345G * NON BIO,SACLA ARRABBIATA 345G,SACLA,"TOMATES, PIMENT EN POUDRE",345.0,NON BIO,8001060028449,45605.9,55357.50000000001,9751.600000000006,0.21382321147044586,345.0
87,SAUCES POUR FECULENTS POT AUT FAB JARDIN BIO BIO PF OLIVE 1CT 200G * BIO,JARDIN BIO TOMATE POUR PIZZA PÂTES OU RIZ 200G,JARDIN BIO,"TOMATES, OIGNONS, OLIVES VERTES",200.0,BIO,3478820030915,47923.0,53974.3,6051.2999999999965,0.12627131022682211,200.0
88,SAUCES POUR FECULENTS POT HEINZ BIO MF AIL OIGNON 1CT 500G * BIO,HEINZ SAUCE TOMATE CUISINEE BIO 500G,HEINZ,TOMATES,500.0,BIO,8410066127702,73789.90000000001,51343.3,-22446.60000000001,-0.3041961027186648,500.0
